t,alpha_3to0,alpha_0to1,alpha_1to2,alpha_2to3,rg2dot,length,L_over_Rg,u_rms
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,-1.459758360958142986e-01,1.034215694928354168e+01,1.034215694928354345e+01,3.751646440776386648e-01
1.000000000000000021e-02,4.404815868852315908e-02,4.051596339616219539e-02,6.716783145682886369e-02,5.947567162036071498e-02,-1.448109137005198499e-01,1.034253807236267164e+01,1.035006498507259742e+01,3.752513922758768938e-01
2.000000000000000042e-02,4.379448680942920474e-02,4.080507028196384695e-02,6.746112132082736357e-02,6.000636840751582407e-02,-1.436411019002605260e-01,1.034317517607136594e+01,1.035818575138322473e+01,3.753391103621219749e-01
2.999999999999999889e-02,4.354000848695056824e-02,4.109410733880483613e-02,6.775014967521524045e-02,6.051050223286239677e-02,-1.424665524363408764e-01,1.034406721404127438e+01,1.036651816104589408e+01,3.754278236419315573e-01
4.000000000000000083e-02,4.328486709404180677e-02,4.138303864828467987e-02,6.803493946336117149e-02,6.098742375811998934e-02,-1.412874216155671214e-01,1.034521310047763976e+01,1.037506108408604710e+01,3.755175550970822895e-01
5.000000000000000278e-02,4.302920608643535927e-02,4.167182686200145841e-02,6.831551413244010829e-02,6.143653845069080299e-02,-1.401038699364290652e-01,1.034661171116970557e+01,1.038381334887971619e+01,3.756083252907924108e-01
5.999999999999999778e-02,4.277316868996980381e-02,4.196043320868175081e-02,6.859189766093252982e-02,6.185730781863609667e-02,-1.389160617035369305e-01,1.034826188472190367e+01,1.039277374352461258e+01,3.757001522742712818e-01
7.000000000000000666e-02,4.251689759042229927e-02,4.224881750574002726e-02,6.886411458152663645e-02,6.224925041489107885e-02,-1.377241646329795122e-01,1.035016242398923225e+01,1.040194101741021093e+01,3.757930514951183798e-01
8.000000000000000167e-02,4.226053462792317417e-02,4.253693817528588633e-02,6.913218999930755004e-02,6.261194262656995246e-02,-1.365283494512593288e-01,1.035231209769867711e+01,1.041131388296890670e+01,3.758870357081484648e-01
8.999999999999999667e-02,4.200422049797705032e-02,4.282475226456743111e-02,6.939614960513425246e-02,6.294501926693436833e-02,-1.353287894904124933e-01,1.035470964223726043e+01,1.042089101758893044e+01,3.759821148892636966e-01
1.000000000000000056e-01,4.174809446103746463e-02,4.311221547080767991e-02,6.965601968412088452e-02,6.324817398868953777e-02,-1.341256602818421406e-01,1.035735376358655202e+01,1.043067106566894076e+01,3.760782961530244606e-01
1.100000000000000006e-01,4.149229406247705726e-02,4.339928217035633751e-02,6.991182711915738812e-02,6.352115953774148394e-02,-1.329191391512828946e-01,1.036024313938287023e+01,1.044065264079367061e+01,3.761755836745949710e-01
1.199999999999999956e-01,4.123695486466605331e-02,4.368590545204724396e-02,7.016359938942323682e-02,6.376378786642381002e-02,-1.317094048171766896e-01,1.036337642108231627e+01,1.045083432800975309e+01,3.762739786167456080e-01
1.300000000000000044e-01,4.098221019272089982e-02,4.397203715461558970e-02,7.041136456386640208e-02,6.397593012453570149e-02,-1.304966369945786409e-01,1.036675223620989428e+01,1.046121468618108530e+01,3.763734790625976045e-01
1.400000000000000133e-01,4.072819089531329317e-02,4.425762790799568636e-02,7.065515128963972824e-02,6.415751654537840687e-02,-1.292810160065315794e-01,1.037036919067237761e+01,1.047179225040332717e+01,3.764740799547809380e-01
1.499999999999999944e-01,4.047502512174209338e-02,4.454262717828577633e-02,7.089498877550716449e-02,6.430853624241944511e-02,-1.280627224046501644e-01,1.037422587111531058e+01,1.048256553445795092e+01,3.765757730416546822e-01
1.600000000000000033e-01,4.022283811626963662e-02,4.482698331613294701e-02,7.113090677025345199e-02,6.442903693032259183e-02,-1.268419366004485682e-01,1.037832084730538895e+01,1.049353303328702225e+01,3.766785468312100482e-01
