t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.118492081346856515e-02,-1.913673097790806743e-01,7.964827809235770772e-02,-2.116344333579793860e-02,9.999999999999997780e-01,-1.459758360958142986e-01,1.034215694928354168e+01,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01
2.500000000000000052e-03,4.423407389699983427e-02,4.029724656128109289e-02,6.693445004697633205e-02,5.905990198283872505e-02,5.182559263787345216e-02,-1.906238151441045914e-01,7.970978292683626731e-02,-1.992386490656765721e-02,9.996354892333677578e-01,-1.456327790998498961e-01,1.034222820920097341e+01,2.250710236712422097e-02,2.252074844436323039e-02,2.250551750342223711e-02,2.251115585963573557e-02,1.500510227883471992e-01,1.500965039333826967e-01,1.500457396869920301e-01,1.500645341525473353e-01
5.000000000000000104e-03,4.416726296995449746e-02,4.036766590383285280e-02,6.699843065281230192e-02,5.919910907372919612e-02,5.246549864184593681e-02,-1.898819469219833189e-01,7.977098320606546000e-02,-1.868532874138697022e-02,9.992718360947152600e-01,-1.452897338469816002e-01,1.034231557516187472e+01,2.251416778880601169e-02,2.254146495472960157e-02,2.251103045587589044e-02,2.252224254157833908e-02,1.501018778675616006e-01,1.501928453575170352e-01,1.500914192093637245e-01,1.501287926287584451e-01
7.499999999999999722e-03,4.410045048524145056e-02,4.043807883317435820e-02,6.706219976631296043e-02,5.933672514432512812e-02,5.310463393580083097e-02,-1.891416920517572653e-01,7.983187926773981091e-02,-1.744787116125613713e-02,9.989090405536643624e-01,-1.449467011566913932e-01,1.034241902193220142e+01,2.252119629048946262e-02,2.256214953030916126e-02,2.251653887370763316e-02,2.253326003352723594e-02,1.501525652000630928e-01,1.502890242269814269e-01,1.501370385107394512e-01,1.501927753076866545e-01
1.000000000000000021e-02,4.403363855902024671e-02,4.050848498286943600e-02,6.712575772558472542e-02,5.947273973683200182e-02,5.374299365095659003e-02,-1.884030375460780393e-01,7.989247145218078550e-02,-1.621152823961637124e-02,9.985471025777659104e-01,-1.446036818662423395e-01,1.034253852422122755e+01,2.252818789810774949e-02,2.258280217000552606e-02,2.252204277325645793e-02,2.254420832595130722e-02,1.502030847500257227e-01,1.503850404950893005e-01,1.501825975349520281e-01,1.502564820770544707e-01
1.250000000000000069e-02,4.396682930412899176e-02,4.057888398157888377e-02,6.718910486977092145e-02,5.960714260131556863e-02,5.438057294141681458e-02,-1.876659704915101812e-01,7.995276010236969377e-02,-1.497633579436325781e-02,9.981860221324551086e-01,-1.442606768302887033e-01,1.034267405668225592e+01,2.253514263808158169e-02,2.260342287241644613e-02,2.252754217085347135e-02,2.255508741207779000e-02,1.502534364833787439e-01,1.504808941139005873e-01,1.502280962260468256e-01,1.503199128332218248e-01
1.499999999999999944e-02,4.390002482984950438e-02,4.064927545306393220e-02,6.725224153909357960e-02,5.973992369683332748e-02,5.501736698623141408e-02,-1.869304780488109385e-01,8.001274556397919291e-02,-1.374232938004472590e-02,9.978257991810099981e-01,-1.439176869204863429e-01,1.034282559391330025e+01,2.254206053731753340e-02,2.262401163583442273e-02,2.253303708282169276e-02,2.256589728788061314e-02,1.503036203678072835e-01,1.505765850342327128e-01,1.502735345282853741e-01,1.503830674811529600e-01
1.750000000000000167e-02,4.383322724167238588e-02,4.071965901618994355e-02,6.731516807489315579e-02,5.987107319250287163e-02,5.565337099143671112e-02,-1.861965474531855902e-01,8.007242818540194484e-02,-1.250954428024586042e-02,9.974664336845080470e-01,-1.435747130251034676e-01,1.034299311045788627e+01,2.254894162320624645e-02,2.264456845824736053e-02,2.253852752547586338e-02,2.257663795206813623e-02,1.503536363727524527e-01,1.506721132056721424e-01,1.503189123861492504e-01,1.504459459343812644e-01
2.000000000000000042e-02,4.376643864106266602e-02,4.079003428493144928e-02,6.737788481966669463e-02,6.000058146850729968e-02,5.628858019207395869e-02,-1.854641660145211479e-01,8.013180831777770574e-02,-1.127801550016565083e-02,9.971079256017858494e-01,-1.432317560486331409e-01,1.034317658080584224e+01,2.255578592362051521e-02,2.266509333733928919e-02,2.254401351512224164e-02,2.258730940607034388e-02,1.504034844694112916e-01,1.507674785765858172e-01,1.503642297443438525e-01,1.505085481149723292e-01
2.249999999999999917e-02,4.369966112522519902e-02,4.086040086837742363e-02,6.744039211710384230e-02,6.012843911703860678e-02,5.692298985418349500e-02,-1.847333211175965773e-01,8.019088631501813946e-02,-1.004777775938716679e-02,9.967502748893993791e-01,-1.428888169114055362e-01,1.034337597939421904e+01,2.256259346691322915e-02,2.268558627049110585e-02,2.254949506805839152e-02,2.259791165402547444e-02,1.504531646307358528e-01,1.508626810941325336e-01,1.504094865478018128e-01,1.505708739534853402e-01
2.500000000000000139e-02,4.363289678687085754e-02,4.093075837073767431e-02,6.750269031212105530e-02,6.025463694318085317e-02,5.755659527677496612e-02,-1.840040002222708138e-01,8.024966253382991022e-02,-8.818865484844340408e-03,9.963934815015835778e-01,-1.425458965492021335e-01,1.034359128060816246e+01,2.256936428191521488e-02,2.270604725478137659e-02,2.255497220057298829e-02,2.260844470276611104e-02,1.505026768314320640e-01,1.509577207042746838e-01,1.504546827416868293e-01,1.506329233889327213e-01
2.750000000000000014e-02,4.356614771398299030e-02,4.100110639134996876e-02,6.756477975089385246e-02,6.037916596573209699e-02,5.818939179377217996e-02,-1.832761908636504344e-01,8.030813733373526331e-02,-7.591312803988759482e-03,9.960375453902157172e-01,-1.422029959128702781e-01,1.034382245878192208e+01,2.257609839793294979e-02,2.272647628698717948e-02,2.256044492894561035e-02,2.261890856180472781e-02,1.505520210479580345e-01,1.510525973517896359e-01,1.504998182713969679e-01,1.506946963687380292e-01
2.999999999999999889e-02,4.349941598958444872e-02,4.107144452468769469e-02,6.762666078088779009e-02,6.050201741796783911e-02,5.882137477593072511e-02,-1.825498806522329598e-01,8.036631107709106547e-02,-6.365153538157324389e-03,9.956824665047768752e-01,-1.418601159679398482e-01,1.034406948819985317e+01,2.258279584474615076e-02,2.274687336358497888e-02,2.256591326944653100e-02,2.262930324331874007e-02,1.506011972585219461e-01,1.511473109802816128e-01,1.505448930825682707e-01,1.507561928486922942e-01
3.250000000000000111e-02,4.343270369150520338e-02,4.114177236036838797e-02,6.768833375088677273e-02,6.062318274834610499e-02,5.945253963272795900e-02,-1.818250572740312543e-01,8.042418412910572190e-02,-5.140421196143839938e-03,9.953282447923171850e-01,-1.415172576942403393e-01,1.034433234309747540e+01,2.258945665260525884e-02,2.276723848075155182e-02,2.257137723833651036e-02,2.263962876213502021e-02,1.506502054430794435e-01,1.512418615321932391e-01,1.505899071210779205e-01,1.508174127929087505e-01
3.500000000000000333e-02,4.336601289215104987e-02,4.121208948316303772e-02,6.774979901102030910e-02,6.074265362115478101e-02,6.008288181422482416e-02,-1.811017084906759722e-01,8.048175685785427524e-02,-3.917148967976151128e-03,9.949748801974187540e-01,-1.411744220855201126e-01,1.034461099766259196e+01,2.259608085222879204e-02,2.278757163436493857e-02,2.257683685186659406e-02,2.264988513571393469e-02,1.506990455833306930e-01,1.513362489488172535e-01,1.506348603330477653e-01,1.508783561737759293e-01
3.749999999999999861e-02,4.329934565827269627e-02,4.128239547300621010e-02,6.781105691278860315e-02,6.086042191710318294e-02,6.071239681289711254e-02,-1.803798221394974644e-01,8.053902963429142303e-02,-2.695369718900374103e-03,9.946223726621632455e-01,-1.408316101490669492e-01,1.034490542603642993e+01,2.260266847480059751e-02,2.280787282000544883e-02,2.258229212627789126e-02,2.266007238413288161e-02,1.507477176627168014e-01,1.514304731703084161e-01,1.506797526648473162e-01,1.509390229719092258e-01
4.000000000000000083e-02,4.323270405073625922e-02,4.135268990500660935e-02,6.787210780908616015e-02,6.097647973385817571e-02,6.134108016543709380e-02,-1.796593861335877285e-01,8.059600283226281414e-02,-1.475115983573330137e-03,9.942707221260969064e-01,-1.404888229053299353e-01,1.034521560231483761e+01,2.260921955196697891e-02,2.282814203295668865e-02,2.258774307780137339e-02,2.267019053006937013e-02,1.507962216664159860e-01,1.515245341356951658e-01,1.507245840630971334e-01,1.509994131761011049e-01
4.250000000000000305e-02,4.316609012429448861e-02,4.142297234945857554e-02,6.793295205422329730e-02,6.109081938652621835e-02,6.196892745452211443e-02,-1.789403884618415153e-01,8.065267682851437470e-02,-2.564199604644606489e-04,9.939199285261988148e-01,-1.401460613875437633e-01,1.034554150054952260e+01,2.261573411583372301e-02,2.284837926820662904e-02,2.259318972265766251e-02,2.268023959878362819e-02,1.508445575813392170e-01,1.516184317828915273e-01,1.507693544746718517e-01,1.510595267832697264e-01
4.499999999999999833e-02,4.309950592735933145e-02,4.149324237185430392e-02,6.799359000394640529e-02,6.120343340808212518e-02,6.259593431055208990e-02,-1.782228171889788659e-01,8.070905200269984370e-02,9.606864935311522358e-04,9.935699917968502382e-01,-1.398033266413542530e-01,1.034588309474931656e+01,2.262221219896301191e-02,2.286858452044870232e-02,2.259863207705681970e-02,2.269021961810075913e-02,1.508927253961253878e-01,1.517121660487088519e-01,1.508140638467030947e-01,1.511193637984060145e-01
4.750000000000000056e-02,4.303295350177561290e-02,4.156349953289664029e-02,6.805402201545621144e-02,6.131431454974656942e-02,6.322209641335281571e-02,-1.775066604555481931e-01,8.076512873738679599e-02,2.176171868269790016e-03,9.932209118698016592e-01,-1.394606197244463441e-01,1.034624035888148263e+01,2.262865383437022773e-02,2.288875778408294356e-02,2.260407015719812993e-02,2.270013061839247850e-02,1.509407251011362361e-01,1.518057368688677800e-01,1.508587121265826947e-01,1.511789242345198681e-01
5.000000000000000278e-02,4.296643488259624388e-02,4.163374338851270201e-02,6.811424844742437756e-02,6.142345578131220424e-02,6.384740949384513919e-02,-1.767919064779097937e-01,8.082090741806034762e-02,3.390005005323497040e-03,9.928726886741463531e-01,-1.391179417061736701e-01,1.034661326687308858e+01,2.263505905552064615e-02,2.290889905321715284e-02,2.260950397926990083e-02,2.270997263255841031e-02,1.509885566884505981e-01,1.518991441780100093e-01,1.509032992619653013e-01,1.512382081125842603e-01
5.249999999999999806e-02,4.289995209785864988e-02,4.170397348986803338e-02,6.817426966000858513e-02,6.153085029142058709e-02,6.447186933567920775e-02,-1.760785435482015437e-01,8.087638843312533465e-02,4.602155102733348005e-03,9.925253221362886347e-01,-1.387752936671905191e-01,1.034700179261235498e+01,2.264142789632604333e-02,2.292900832166808178e-02,2.261493355944923719e-02,2.271974569600698768e-02,1.510362201518585523e-01,1.519923879097103137e-01,1.509478252007715182e-01,1.512972154614789233e-01
5.500000000000000028e-02,4.283350716836285821e-02,4.177418938338168380e-02,6.823408601486594116e-02,6.163649148779088566e-02,6.509547177683286390e-02,-1.753665600342860786e-01,8.093157217390710423e-02,5.812591719550935961e-03,9.921788121799185456e-01,-1.384326766990862656e-01,1.034740590995011189e+01,2.264776039114118136e-02,2.294908558296266873e-02,2.262035891390183628e-02,2.272944984663593376e-02,1.510837154868547860e-01,1.520854679964881717e-01,1.509922898911904565e-01,1.513559463179319220e-01
5.750000000000000250e-02,4.276710210745117424e-02,4.184439061074161914e-02,6.829369787516469115e-02,6.174037299740093437e-02,6.571821271117345153e-02,-1.746559443796800171e-01,8.098645903465008511e-02,7.021284780167572070e-03,9.918331587259826554e-01,-1.380900919040214947e-01,1.034782559270122704e+01,2.265405657476020351e-02,2.296913083033928424e-02,2.262578005878177964e-02,2.273908512481238875e-02,1.511310426906321003e-01,1.521783843698199523e-01,1.510366932816826213e-01,1.514144007264607295e-01
