t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.118492081346856515e-02,-1.913673097790806743e-01,7.964827809235770772e-02,-2.116344333579793860e-02,9.999999999999997780e-01,-1.459758360958142986e-01,1.034215694928354168e+01,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01
2.500000000000000052e-03,4.423741292614060544e-02,4.029986042318246808e-02,6.693956312369915562e-02,5.906123809499568000e-02,5.183106872882616012e-02,-1.906416635411355698e-01,7.971515733313075391e-02,-1.993192621517931098e-02,9.996354562230699292e-01,-1.456591518352136627e-01,1.034222818821457501e+01,2.249710285992726627e-02,2.251074656166349511e-02,2.249551834824614627e-02,2.250115583667198355e-02,1.500176890555003362e-01,1.500631723869297052e-01,1.500124059537648880e-01,1.500312017025917377e-01
5.000000000000000104e-03,4.417390855790050835e-02,4.037290030317983863e-02,6.700864203442455369e-02,5.920178602027424686e-02,5.247680779452822825e-02,-1.899173575500852362e-01,7.978171039875034398e-02,-1.870048781566957183e-02,9.992717044085205336e-01,-1.453422663394382530e-01,1.034231549741748957e+01,2.249416976793347164e-02,2.252145743736911482e-02,2.249103383788085206e-02,2.250224245491464631e-02,1.500352095760803528e-01,1.501261858236186131e-01,1.500247509477591057e-01,1.500621294101441572e-01
7.499999999999999722e-03,4.411037003657728578e-02,4.044594034209730155e-02,6.707749468453208519e-02,5.934074646173095879e-02,5.312213239768510259e-02,-1.891943812261728808e-01,7.984793757932853731e-02,-1.746916448843531880e-02,9.989087450583202799e-01,-1.450251805076513689e-01,1.034241886094469542e+01,2.249120076132494692e-02,2.253213264650058556e-02,2.248654648929801839e-02,2.250325985014636418e-02,1.500525614840390598e-01,1.501890402426734883e-01,1.500370349325409192e-01,1.500927828733250868e-01
1.000000000000000021e-02,4.404679935725112905e-02,4.051898006982817407e-02,6.714612141544475110e-02,5.947810775748034462e-02,5.376703692764791404e-02,-1.884727240420392136e-01,7.991383916724645320e-02,-1.623799242718555400e-02,9.985465786721613446e-01,-1.447078952616464298e-01,1.034253826277126720e+01,2.248819587788338653e-02,2.254277220815678606e-02,2.248205632286155720e-02,2.250420802046612309e-02,1.500697447034595455e-01,1.502517355756465556e-01,1.500492578588484838e-01,1.501231618512200716e-01
1.250000000000000069e-02,4.398319851567600997e-02,4.059201901110228577e-02,6.721452256938360847e-02,5.961385843565972231e-02,5.441151577815627610e-02,-1.877523755232487490e-01,7.997941545718768863e-02,-1.500700765961586296e-02,9.981852057474043249e-01,-1.443904115455524051e-01,1.034267368679529042e+01,2.248515515586498037e-02,2.255337614115258960e-02,2.247756335890524829e-02,2.250508696664479599e-02,1.500867591602144391e-01,1.503142717530462913e-01,1.500614196776043907e-01,1.501532661113171019e-01
1.499999999999999944e-02,4.391956950803908855e-02,4.066505668548547892e-02,6.728269848940511555e-02,5.974798721606152524e-02,5.505556334948101538e-02,-1.870333252487931808e-01,8.004466674617008448e-02,-1.377624603898178896e-02,9.978246267790209512e-01,-1.440727303255366631e-01,1.034282511683832873e+01,2.248207863399938680e-02,2.256394446401978338e-02,2.247306761773260747e-02,2.250589669211583432e-02,1.501036047819713226e-01,1.503766487043485256e-01,1.500735203399208850e-01,1.501830954294896547e-01
1.750000000000000167e-02,4.385591433071899664e-02,4.073809260738001786e-02,6.735064951943675604e-02,5.988048301170729310e-02,5.569917405056120513e-02,-1.863155628515707485e-01,8.010959333357524359e-02,-1.254574323580788520e-02,9.974648422595407959e-01,-1.437548525895058493e-01,1.034299253664589102e+01,2.247896635148859817e-02,2.257447719500802613e-02,2.246856911961674780e-02,2.250663720296538356e-02,1.501202814981974221e-01,1.504388663580074614e-01,1.500855597971044730e-01,1.502126495899775149e-01
2.000000000000000042e-02,4.379223498004336523e-02,4.081112628602560216e-02,6.741837600431174748e-02,6.001133493036497207e-02,5.634234230113185915e-02,-1.855990780188445932e-01,8.017419552117732717e-02,-1.131553472973436877e-02,9.971058526789964294e-01,-1.434367793468055985e-01,1.034317592988799461e+01,2.247581834800567099e-02,2.258497435208585077e-02,2.246406788480023037e-02,2.250730850792182630e-02,1.501367892401638815e-01,1.505009246414669710e-01,1.500975380006605575e-01,1.502419283853660692e-01
2.249999999999999917e-02,4.372853345204590764e-02,4.088415722550139270e-02,6.748587828980188996e-02,6.014053227600870549e-02,5.698506253384381937e-02,-1.848838604926761053e-01,8.023847361316943649e-02,-1.008565580150808973e-02,9.967476585248709053e-01,-1.431185116279176939e-01,1.034337528015974783e+01,2.247263466369332774e-02,2.259543595294170523e-02,2.245956393349493249e-02,2.250791061834478413e-02,1.501531279409496211e-01,1.505628234811718091e-01,1.501094549022983227e-01,1.502709316165635189e-01
2.500000000000000139e-02,4.366481174222252432e-02,4.095718492472899541e-02,6.755315672264911031e-02,6.026806455022289816e-02,5.762732919637310325e-02,-1.841699000703373446e-01,8.030242791618892595e-02,-8.856141525120269850e-03,9.963902602820449150e-01,-1.428000504841561713e-01,1.034359057098201440e+01,2.246941533916243725e-02,2.260586201498506267e-02,2.245505728588189504e-02,2.250844354821353657e-02,1.501692975354446125e-01,1.506245628025789651e-01,1.501213104539350918e-01,1.502996590927766496e-01
2.750000000000000014e-02,4.360107184528734525e-02,4.103020887747606954e-02,6.762021165059578509e-02,6.039392145355046426e-02,5.826913675351805960e-02,-1.834571866047008115e-01,8.036605873934084265e-02,-7.627026760096015934e-03,9.960336584327450504e-01,-1.424813969873615360e-01,1.034382178580208844e+01,2.246616041549035978e-02,2.261625255534753867e-02,2.245054796211118364e-02,2.250890731411493706e-02,1.501852979603529592e-01,1.506861425301692925e-01,1.501331046077011566e-01,1.503281106314845739e-01
2.999999999999999889e-02,4.353731575492825190e-02,4.110322857236103911e-02,6.768704342241296801e-02,6.051809288678592497e-02,5.891047968928399270e-02,-1.827457100046061267e-01,8.042936639421949252e-02,-6.398346143939146261e-03,9.956778534564929561e-01,-1.421625522295939248e-01,1.034406890799447432e+01,2.246286993421918454e-02,2.262660759088408122e-02,2.244603598230174649e-02,2.250930193523077022e-02,1.502011291541950899e-01,1.507475625874589442e-01,1.501448373159441352e-01,1.503562860584108096e-01
3.250000000000000111e-02,4.347354546356197585e-02,4.117624349285840812e-02,6.775365238792808997e-02,6.064056895221470872e-02,5.955135250895346455e-02,-1.820354602352058926e-01,8.049235119492911816e-02,-5.170134084735008781e-03,9.953228458300552584e-01,-1.418435173228247970e-01,1.034433192086166464e+01,2.245954393735382498e-02,2.263692713817417809e-02,2.244152136654126509e-02,2.250962743332459229e-02,1.502167910573098397e-01,1.508088228970109745e-01,1.501565085312334680e-01,1.503841852074938312e-01
3.500000000000000333e-02,4.340976296208933632e-02,4.124925311730508887e-02,6.782003889805063301e-02,6.076133995479862659e-02,6.019174974114120669e-02,-1.813264273182889075e-01,8.055501345810230085e-02,-3.942424753916224517e-03,9.949686360273940489e-01,-1.415242933986271823e-01,1.034461080763500185e+01,2.245618246735999954e-02,2.264721121352311628e-02,2.243700413488600512e-02,2.250988383272806842e-02,1.502322836118559213e-01,1.508699233804471351e-01,1.501681182063648035e-01,1.504118079208557057e-01
3.749999999999999861e-02,4.334597023965008900e-02,4.132225691890767383e-02,6.788620330479649967e-02,6.088039640330887570e-02,6.083166593983227455e-02,-1.806186013325828676e-01,8.061735350291736324e-02,-2.715252079193149030e-03,9.946152245196182573e-01,-1.412048816078653179e-01,1.034490555147556989e+01,2.245278556716209448e-02,2.265745983296327259e-02,2.243248430736067417e-02,2.251007116032680347e-02,1.502476067618130351e-01,1.509308639584596434e-01,1.501796662943644112e-01,1.504391540487692580e-01
4.000000000000000083e-02,4.328216928337835778e-02,4.139525436575020728e-02,6.795214596131123053e-02,6.099772901140700088e-02,6.147109568640257704e-02,-1.799119724140343934e-01,8.067937165111373210e-02,-1.488649737652883529e-03,9.942626117749361336e-01,-1.408852831203830369e-01,1.034521613547514463e+01,2.244935328014089834e-02,2.266767301225544942e-02,2.242796190395826908e-02,2.251018944554566623e-02,1.502627604529822858e-01,1.509916445508228955e-01,1.501911527484934561e-01,1.504662234496235429e-01
4.250000000000000305e-02,4.321836207815733105e-02,4.146824492080332381e-02,6.801786722189158418e-02,6.111332869867549394e-02,6.211003359161945681e-02,-1.792065307560690157e-01,8.074106822700610753e-02,-2.626511490287337198e-04,9.939107982586072865e-01,-1.405654991246913788e-01,1.034554254265717965e+01,2.244588565013121845e-02,2.267785076689022780e-02,2.242343694463993717e-02,2.251023872033366263e-02,1.502777446329864874e-01,1.510522650764055397e-01,1.502025775222522452e-01,1.504930159898878739e-01
4.499999999999999833e-02,4.315455060637531787e-02,4.154122804193375457e-02,6.808336744200584045e-02,6.122718659159771121e-02,6.274847429762303586e-02,-1.785022666098303734e-01,8.080244355749700846e-02,9.627105308562557400e-04,9.935597844328976080e-01,-1.402455308276552848e-01,1.034588475597783841e+01,2.244238272141938981e-02,2.268799311208936909e-02,2.241890944933481664e-02,2.251021901914830939e-02,1.502925592512697750e-01,1.511127254531822173e-01,1.502139405693844187e-01,1.505195315440740478e-01
4.750000000000000056e-02,4.309073684768120055e-02,4.161420318191489526e-02,6.814864697831253537e-02,6.133929402448929508e-02,6.338641247988545391e-02,-1.777991702843979005e-01,8.086349797208747248e-02,2.187402416470664128e-03,9.932095707570333110e-01,-1.399253794541799323e-01,1.034624275832708840e+01,2.243884453874065224e-02,2.269810006280724782e-02,2.241437943793989432e-02,2.251013037893956348e-02,1.503072042590967716e-01,1.511730255982456361e-01,1.502252418438810577e-01,1.505457699946974037e-01
5.000000000000000278e-02,4.302692277874080318e-02,4.168716978843833160e-02,6.821370618867829416e-02,6.144964254038130097e-02,6.402384284914719448e-02,-1.770972321469848620e-01,8.092423180288707552e-02,3.411391898777327465e-03,9.928601576871555201e-01,-1.396050462468961251e-01,1.034661653252980962e+01,2.243527114727642338e-02,2.270817163373230890e-02,2.240984693031985650e-02,2.250997283913329719e-02,1.503216796095514229e-01,1.512331654278187276e-01,1.502364812999848753e-01,1.505717312322360779e-01
5.249999999999999806e-02,4.296311037299398172e-02,4.176012730412589913e-02,6.827854543219390171e-02,6.155822389185624383e-02,6.466076015333083182e-02,-1.763964426231162952e-01,8.098464538462163409e-02,4.634646651256509736e-03,9.925115456762776400e-01,-1.392845324658456563e-01,1.034700606134696876e+01,2.243166259265144680e-02,2.271820783928855947e-02,2.240531194630693973e-02,2.250974644161433599e-02,1.503359852575354150e-01,1.512931448572664150e-01,1.502476588921940748e-01,1.505974151550890372e-01
5.500000000000000028e-02,4.289930160041209584e-02,4.183307516654286018e-02,6.834316506918894363e-02,6.166503004183847281e-02,6.529715917942834069e-02,-1.756967921967872992e-01,8.104473905463951966e-02,5.857134635747838873e-03,9.921637351742408351e-01,-1.389638393881660328e-01,1.034741132747683423e+01,2.242801892093083949e-02,2.272820869363708848e-02,2.240077450570077816e-02,2.250945123070908008e-02,1.503501211597659259e-01,1.513529638011081313e-01,1.502587745752665960e-01,1.506228216695326416e-01
5.750000000000000250e-02,4.283549842725615370e-02,4.190601280821179553e-02,6.840756546124564241e-02,6.177005316433926974e-02,6.593303475536331504e-02,-1.749982714106007031e-01,8.110451315291732077e-02,7.078824108108099783e-03,9.918167266276732841e-01,-1.386429683077751440e-01,1.034783231355620003e+01,2.242434017861703183e-02,2.273817421067761413e-02,2.239623462826825437e-02,2.250908725316769221e-02,1.503640872747732393e-01,1.514126221730294763e-01,1.502698283042237237e-01,1.506479506896756526e-01
5.999999999999999778e-02,4.277170281583626832e-02,4.197893965662734955e-02,6.847174697121062581e-02,6.187328564515835738e-02,6.656838175182619444e-02,-1.743008708658869421e-01,8.116396802206275740e-02,8.299683623685601835e-03,9.914705204799462157e-01,-1.383219205350556813e-01,1.034826900216170209e+01,2.242062641264657916e-02,2.274810440405006240e-02,2.239169233374336057e-02,2.250865455814589355e-02,1.503778835628978017e-01,1.514721198858949014e-01,1.502808200343541956e-01,1.506728021374133253e-01
6.250000000000000000e-02,4.270791672427179386e-02,4.205185513427171784e-02,6.853570996320623721e-02,6.197472008254265030e-02,6.720319508408127696e-02,-1.736045812228040608e-01,8.122310400731752589e-02,9.519682042608369754e-03,9.911251171711367158e-01,-1.380006973965395844e-01,1.034872137581112206e+01,2.241687767038688314e-02,2.275799928713615264e-02,2.238714764182703904e-02,2.250815319718638130e-02,1.503915099862866422e-01,1.515314568517593385e-01,1.502917497212178932e-01,1.506973759423796411e-01
6.500000000000000222e-02,4.264414210625257912e-02,4.212475865863100216e-02,6.859945480263957007e-02,6.207434928780351108e-02,6.783746971374426948e-02,-1.729093932004189815e-01,8.128192145655754874e-02,1.073878853488611888e-02,9.907805171379837628e-01,-1.376793002345925998e-01,1.034918941696476047e+01,2.241309399963280560e-02,2.276785887306103859e-02,2.238260057218703983e-02,2.250758322419983345e-02,1.504049665088898480e-01,1.515906329818809128e-01,1.503026173206497007e-01,1.507216720418987910e-01
6.750000000000000444e-02,4.258038091080151855e-02,4.219764964221251607e-02,6.866298185621104444e-02,6.217216628589344180e-02,6.847120065053033389e-02,-1.722152975767711203e-01,8.134042072029258608e-02,1.195697258532441368e-02,9.904367208138522560e-01,-1.373577304070988103e-01,1.034967310802683649e+01,2.240927544860317824e-02,2.277768317469493903e-02,2.237805114445776816e-02,2.250694469544558055e-02,1.504182530964562059e-01,1.516496481867327384e-01,1.503134227887631125e-01,1.507456903809349935e-01
7.000000000000000666e-02,4.251663508203820663e-02,4.227052749256257624e-02,6.872629149192116538e-02,6.226816431594370260e-02,6.910438295397049180e-02,-1.715222851889167677e-01,8.139860215166425106e-02,1.317420399825228357e-02,9.900937286286926042e-01,-1.370359892871456930e-01,1.035017243134691789e+01,2.240542206593720137e-02,2.278747220465481352e-02,2.237349937824013868e-02,2.250623766951189569e-02,1.504313697165286234e-01,1.517085023760154638e-01,1.503241660819538972e-01,1.507694309120414800e-01
7.249999999999999500e-02,4.245290655894418813e-02,4.234339161228549420e-02,6.878938407907622676e-02,6.236233683176375248e-02,6.973701173509676277e-02,-1.708303469329568725e-01,8.145646610644233232e-02,1.439045290205994906e-02,9.897515410090041987e-01,-1.367140782627093987e-01,1.035068736922138832e+01,2.240153390069076628e-02,2.279722597530604855e-02,2.236894529310143320e-02,2.250546220729596203e-02,1.504443163384391324e-01,1.517671954586692906e-01,1.503348471569038169e-01,1.507928935953080085e-01
7.499999999999999722e-02,4.238919727512966557e-02,4.241624139906299829e-02,6.885225998829254401e-02,6.245467750230378895e-02,7.036908215809356548e-02,-1.701394737640465338e-01,8.151401294302020040e-02,1.560568975354987946e-02,9.894101583777981102e-01,-1.363919987363405029e-01,1.035121790389495189e+01,2.239761100233264579e-02,2.280694449876416799e-02,2.236438890857514461e-02,2.250461837198348275e-02,1.504570929333034768e-01,1.518257273428862686e-01,1.503454659705839858e-01,1.508160783983074349e-01
7.749999999999999944e-02,4.232550915860157359e-02,4.248907624567453689e-02,6.891491959149990965e-02,6.254518021208169132e-02,7.100058944191578458e-02,-1.694496566963869244e-01,8.157124302240865987e-02,1.681988534209833200e-02,9.890695811545606730e-01,-1.360697521248502295e-01,1.035176401756216258e+01,2.239365342074062931e-02,2.281662778689655391e-02,2.235983024416084500e-02,2.250370622902799975e-02,1.504696994740153115e-01,1.518840979361225640e-01,1.503560224802586165e-01,1.508389852960412003e-01
8.000000000000000167e-02,4.226184413153364489e-02,4.256189554001859471e-02,6.897736326194284229e-02,6.263383906157543590e-02,7.163152886187219848e-02,-1.687608868032023091e-01,8.162815670822841374e-02,1.803301079362956694e-02,9.887298097552197351e-01,-1.357473398589975622e-01,1.035232569236899458e+01,2.238966120619753641e-02,2.282627585132419867e-02,2.235526931932402608e-02,2.250272584612988611e-02,1.504821359352399579e-01,1.519423071451106166e-01,1.503665166434881018e-01,1.508616142708835706e-01
8.250000000000000389e-02,4.219820411003803035e-02,4.263469866513445311e-02,6.903959137418154424e-02,6.272064836758207973e-02,7.226189575117333841e-02,-1.680731552166977727e-01,8.168475436670120937e-02,1.924503757440196652e-02,9.883908445921081309e-01,-1.354247633831768272e-01,1.035290291041442501e+01,2.238563440938714372e-02,2.283588870342346047e-02,2.235070615349596390e-02,2.250167729321504717e-02,1.504944022934080472e-01,1.520003548758713796e-01,1.503769484181327609e-01,1.508839653125251812e-01
8.500000000000000611e-02,4.213459100393898010e-02,4.270748499922488728e-02,6.910160430409142962e-02,6.280560266354485999e-02,7.289168550244302935e-02,-1.673864531280031542e-01,8.174103636663997141e-02,2.045593749460670324e-02,9.880526860739312633e-01,-1.351020241551061929e-01,1.035349565375206105e+01,2.238157308139003890e-02,2.284546635432783968e-02,2.234614076607357655e-02,2.250056064241333018e-02,1.505064985267083044e-01,1.520582410337265600e-01,1.503873177623559210e-01,1.509060384179153058e-01
