s,logR_cumulative
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-3.145318665789847545e-03
1.000000000000000056e-01,-5.732802114700724996e-03
1.499999999999999944e-01,-8.210862501215179798e-03
2.000000000000000111e-01,-1.057680429211249433e-02
2.500000000000000000e-01,-1.282900928670900609e-02
2.999999999999999889e-01,-1.496571830411377868e-02
3.500000000000000333e-01,-1.698497879957096626e-02
4.000000000000000222e-01,-1.888467474809017721e-02
4.500000000000000111e-01,-2.066258865637649392e-02
5.000000000000000000e-01,-2.231648035327679636e-02
5.500000000000000444e-01,-2.384414892625118243e-02
5.999999999999999778e-01,-2.524343293377014769e-02
6.500000000000000222e-01,-2.651212058321873385e-02
7.000000000000000666e-01,-2.764778930948387503e-02
7.500000000000000000e-01,-2.864764825877683802e-02
8.000000000000000444e-01,-2.950846953103851422e-02
8.499999999999999778e-01,-3.022663869235144019e-02
9.000000000000000222e-01,-3.079824998654905749e-02
9.500000000000000666e-01,-3.121905670794989165e-02
1.000000000000000000e+00,-3.148411521954198877e-02
1.050000000000000044e+00,-3.158739495571573352e-02
1.100000000000000089e+00,-3.152219444744011612e-02
1.150000000000000133e+00,-3.128279905058151816e-02
1.199999999999999956e+00,-3.086645243988998116e-02
1.250000000000000000e+00,-3.027420096047626560e-02
1.300000000000000044e+00,-2.950924743630672573e-02
1.350000000000000089e+00,-2.857260191904726146e-02
1.400000000000000133e+00,-2.745993235631321444e-02
1.449999999999999956e+00,-2.616434189824138126e-02
1.500000000000000000e+00,-2.468290964955174860e-02
1.550000000000000044e+00,-2.301817482931284645e-02
1.600000000000000089e+00,-2.117312189937095232e-02
1.650000000000000133e+00,-1.915036628322024440e-02
1.699999999999999956e+00,-1.695439186715579083e-02
1.750000000000000000e+00,-1.458856145423217260e-02
1.800000000000000044e+00,-1.205346191410804242e-02
1.850000000000000089e+00,-9.353438978519592120e-03
1.900000000000000133e+00,-6.512781667249546019e-03
1.949999999999999956e+00,-3.553483473005575322e-03
2.000000000000000000e+00,-4.453296774935078597e-04
2.049999999999999822e+00,2.852137192674348513e-03
2.100000000000000089e+00,6.330953612019015603e-03
2.149999999999999911e+00,9.971314024432881284e-03
2.200000000000000178e+00,1.375846553259320836e-02
2.250000000000000000e+00,1.763092974933155171e-02
2.300000000000000266e+00,2.154942671345029190e-02
2.350000000000000089e+00,2.558712179268276404e-02
2.399999999999999911e+00,2.981578152180466845e-02
2.450000000000000178e+00,3.417415162208641000e-02
2.500000000000000000e+00,3.855184064121359999e-02
2.550000000000000266e+00,4.297106757600512722e-02
2.600000000000000089e+00,4.751611280519802555e-02
2.649999999999999911e+00,5.218921410158740282e-02
2.700000000000000178e+00,5.697411486782163331e-02
2.750000000000000000e+00,6.180421714586399606e-02
2.800000000000000266e+00,6.657240147953646936e-02
2.850000000000000089e+00,7.127957147792275683e-02
2.899999999999999911e+00,7.604738534873375921e-02
2.950000000000000178e+00,8.102098972823001954e-02
3.000000000000000000e+00,8.621400568529535846e-02
3.050000000000000266e+00,9.151524561638348099e-02
3.100000000000000089e+00,9.683057032560488109e-02
3.149999999999999911e+00,1.021292339993003229e-01
3.200000000000000178e+00,1.075043362070700753e-01
3.250000000000000000e+00,1.131533395980582196e-01
3.300000000000000266e+00,1.190609871436886374e-01
3.350000000000000089e+00,1.250864066451925494e-01
3.399999999999999911e+00,1.312882625324266472e-01
3.450000000000000178e+00,1.376989205490854185e-01
3.500000000000000000e+00,1.441262303569340597e-01
3.550000000000000266e+00,1.504476439574229940e-01
3.600000000000000089e+00,1.567329141702718809e-01
3.649999999999999911e+00,1.631036097586646694e-01
3.700000000000000178e+00,1.695944747187355106e-01
3.750000000000000000e+00,1.758519637376058931e-01
3.800000000000000266e+00,1.818012176035024574e-01
3.850000000000000089e+00,1.880119420793648632e-01
3.899999999999999911e+00,1.942558502466016357e-01
3.950000000000000178e+00,2.001543205841445072e-01
4.000000000000000000e+00,2.058953183810857401e-01
4.049999999999999822e+00,2.114546267928762435e-01
4.099999999999999645e+00,2.168781879168615034e-01
4.150000000000000355e+00,2.224141679129352234e-01
4.200000000000000178e+00,2.279368859437341799e-01
4.250000000000000000e+00,2.329031370741456441e-01
4.299999999999999822e+00,2.375302956340819283e-01
4.350000000000000533e+00,2.423207556537140539e-01
4.400000000000000355e+00,2.472019181159868517e-01
4.450000000000000178e+00,2.520021146018945890e-01
4.500000000000000000e+00,2.568899961059600834e-01
4.549999999999999822e+00,2.615785971396007992e-01
4.600000000000000533e+00,2.660382636696747571e-01
4.650000000000000355e+00,2.708826422977859139e-01
4.700000000000000178e+00,2.757302282606853283e-01
4.750000000000000000e+00,2.798922955841681715e-01
4.799999999999999822e+00,2.837421356545582474e-01
4.850000000000000533e+00,2.880070793509046378e-01
4.900000000000000355e+00,2.928663533422113385e-01
4.950000000000000178e+00,2.982337252334440469e-01
5.000000000000000000e+00,3.038153025991878753e-01
5.049999999999999822e+00,3.091761884666104909e-01
5.100000000000000533e+00,3.139526923264795988e-01
5.150000000000000355e+00,3.181668596291673534e-01
5.200000000000000178e+00,3.223562881397673552e-01
5.250000000000000000e+00,3.271289425543373874e-01
5.299999999999999822e+00,3.326810211261030381e-01
5.350000000000000533e+00,3.385026834155328013e-01
5.400000000000000355e+00,3.441123218059852773e-01
5.450000000000000178e+00,3.492915496988487356e-01
5.500000000000000000e+00,3.539997484667892769e-01
5.549999999999999822e+00,3.585473603346124305e-01
5.600000000000000533e+00,3.633223945229754337e-01
5.650000000000000355e+00,3.681195466125273263e-01
5.700000000000000178e+00,3.725688403261575021e-01
5.750000000000000000e+00,3.769193718479765254e-01
5.799999999999999822e+00,3.813565641804526063e-01
5.850000000000000533e+00,3.857639609737420483e-01
5.900000000000000355e+00,3.899553238893486706e-01
5.950000000000000178e+00,3.940494654328922652e-01
6.000000000000000000e+00,3.983962902675261541e-01
6.049999999999999822e+00,4.029537668128111427e-01
6.100000000000000533e+00,4.075100418017316151e-01
6.150000000000000355e+00,4.120893599097082416e-01
6.200000000000000178e+00,4.167302385166208878e-01
6.250000000000000000e+00,4.213006306955684455e-01
6.299999999999999822e+00,4.257540775179198822e-01
6.350000000000000533e+00,4.306815765880655511e-01
6.400000000000000355e+00,4.361538950952649207e-01
6.450000000000000178e+00,4.419268574627119861e-01
6.500000000000000000e+00,4.475290395551800859e-01
6.549999999999999822e+00,4.525428144595107782e-01
6.600000000000000533e+00,4.571879854606571425e-01
6.650000000000000355e+00,4.620664574699543947e-01
6.700000000000000178e+00,4.671287762095898133e-01
6.750000000000000000e+00,4.721368104436517998e-01
6.799999999999999822e+00,4.772444520806393697e-01
