s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
0.000000000000000000e+00,-7.298791804790713544e-02,1.034215694928354168e+01,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.530818688244221182e-01,4.048648380462410157e-01,4.205329312933660246e-02,3.040855414670656565e+00,2.476073242093856308e+01,3.993672142290370930e-01,8.237705908500928542e-01,1.284000245788940564e+00,1.755226256235231874e+00,2.131386643490372101e+00
5.000000000000000278e-02,-5.282482858368675593e-02,1.042812527382690391e+01,5.270541699312116662e-02,4.524584095928143451e-02,4.673654753039985926e-02,3.527871973825657398e-02,5.230800190883233558e-01,4.441713389756121733e-01,3.274864193606456808e-02,2.324839573382494251e+00,1.058645436326140121e+01,4.400344169116358617e-01,8.420658648919709943e-01,1.290331941832611573e+00,1.749728202333081795e+00,2.106142997240382009e+00
1.000000000000000056e-01,-5.067450937274831091e-02,1.045651343680372491e+01,5.149276588182515740e-02,4.551403905150954582e-02,4.538091619981559494e-02,3.609329114738042688e-02,5.220285613457585905e-01,4.445760204482385736e-01,3.339541820600271799e-02,2.319758214928624884e+00,1.058192929981821528e+01,4.395163070695092822e-01,8.425770642860281878e-01,1.289326625631941337e+00,1.752875730238100616e+00,2.105496978930214258e+00
1.499999999999999944e-01,-4.844790608782987423e-02,1.049318056752759176e+01,5.027101036377286392e-02,4.576051430775691237e-02,4.408161612272757518e-02,3.700009231141778571e-02,5.214554602129974903e-01,4.444707885328393893e-01,3.407375125416323147e-02,2.320334655765782017e+00,1.061552976801902837e+01,4.471736754006542802e-01,8.397296878736205672e-01,1.287009314804322013e+00,1.753679355596495348e+00,2.101149519772545826e+00
2.000000000000000111e-01,-4.618976554806265150e-02,1.053439530725031403e+01,4.906597786265915612e-02,4.596133920157331743e-02,4.286441076123453930e-02,3.765917306549197707e-02,5.211214229632625816e-01,4.441247270994766461e-01,3.475384993726055721e-02,2.324250541957252558e+00,1.064201414964979087e+01,4.466400850707793468e-01,8.396472767296432327e-01,1.288306941274540041e+00,1.754954688677372365e+00,2.100558608888865919e+00
2.500000000000000000e-01,-4.389843423579785353e-02,1.057975047760127651e+01,4.789186264515975927e-02,4.611339477252350549e-02,4.172595632714336256e-02,3.804816768060383797e-02,5.210159295078844455e-01,4.435563046026931855e-01,3.542776588942261190e-02,2.331180215134217359e+00,1.064815198024848009e+01,4.457760449085745869e-01,8.375225031543914733e-01,1.285203100147855881e+00,1.754530151005742056e+00,2.100892603525938984e+00
2.999999999999999889e-01,-4.156992646039305017e-02,1.062896228462047254e+01,4.675225716897670608e-02,4.621539081019378908e-02,4.066669317323180072e-02,3.818043371509317191e-02,5.211409314925758984e-01,4.427699314413341414e-01,3.608913706609005040e-02,2.340768012206545290e+00,1.061745835164509622e+01,4.484467294158206441e-01,8.396313446613770104e-01,1.282880460114395049e+00,1.755062627914438345e+00,2.099784773743023081e+00
3.500000000000000333e-01,-3.920049335789438372e-02,1.068171048126608369e+01,4.564564766339902768e-02,4.626676216966255778e-02,3.968988147165623814e-02,3.808266427746050814e-02,5.215000400365938926e-01,4.417676952396938916e-01,3.673226472371198675e-02,2.352580768530119659e+00,1.053016034274408597e+01,4.513835627450234478e-01,8.407180224646461086e-01,1.283814823385583059e+00,1.753591502759107357e+00,2.097951517188092474e+00
4.000000000000000222e-01,-3.678734458287399867e-02,1.073760940863250646e+01,4.456715468495143356e-02,4.626762521488271551e-02,3.880141207234961975e-02,3.778950666593697272e-02,5.220969443537117893e-01,4.405508592679732716e-01,3.735219637831492523e-02,2.366123848170700317e+00,1.036550491044433464e+01,4.584611349802101832e-01,8.416481372890249890e-01,1.283954487627053664e+00,1.755629129429496338e+00,2.094948100741928609e+00
4.500000000000000111e-01,-3.432921174857869739e-02,1.079622712790085970e+01,4.351032455581061581e-02,4.621838581335458579e-02,3.800825501898225794e-02,3.734067040009528965e-02,5.229336868601941468e-01,4.391208474677388840e-01,3.794546567206696225e-02,2.380881939090528920e+00,1.010594743810690943e+01,4.579232350361373549e-01,8.403880763591078384e-01,1.283755670572872765e+00,1.751647626739533115e+00,2.092790147212328034e+00
5.000000000000000000e-01,-3.182645612743340013e-02,1.085714683407709558e+01,4.246886776633337912e-02,4.611890120265881715e-02,3.731548905025002666e-02,3.677644296140304692e-02,5.240081557368636567e-01,4.374806977902336858e-01,3.851114647290312248e-02,2.396371758223993620e+00,1.020000951799332434e+01,4.549160823100129591e-01,8.360241248706787864e-01,1.280316601655570263e+00,1.753289820914464947e+00,2.092647987782631613e+00
