s,logR_cumulative
0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-2.017755193496566842e-03
2.999999999999999889e-02,-3.406413326979908056e-03
4.499999999999999833e-02,-4.772584970462416011e-03
5.999999999999999778e-02,-6.116242498504865024e-03
7.499999999999999722e-02,-7.437397528739470715e-03
8.999999999999999667e-02,-8.736166928417140112e-03
1.049999999999999961e-01,-1.001272360817523355e-02
1.199999999999999956e-01,-1.126729020823096818e-02
1.350000000000000089e-01,-1.250012953164141363e-02
1.499999999999999944e-01,-1.371152787120023288e-02
1.650000000000000078e-01,-1.490177431466960072e-02
1.799999999999999933e-01,-1.607114017760696151e-02
1.950000000000000067e-01,-1.721986213414018058e-02
2.099999999999999922e-01,-1.834813121961617263e-02
2.250000000000000056e-01,-1.945608811839117172e-02
2.399999999999999911e-01,-2.054382341850033433e-02
2.550000000000000044e-01,-2.161138014646474606e-02
2.700000000000000178e-01,-2.265875511678253074e-02
2.850000000000000311e-01,-2.368589551658675102e-02
2.999999999999999889e-01,-2.469268764425217380e-02
3.150000000000000022e-01,-2.567893575955449564e-02
3.300000000000000155e-01,-2.664433057271467509e-02
3.450000000000000289e-01,-2.758840896640571069e-02
3.599999999999999867e-01,-2.851050883389344079e-02
3.750000000000000000e-01,-2.940972483140110935e-02
3.900000000000000133e-01,-3.028487170116650126e-02
4.050000000000000266e-01,-3.113446127871790856e-02
4.199999999999999845e-01,-3.195669792563877315e-02
4.349999999999999978e-01,-3.274949717269631105e-02
4.500000000000000111e-01,-3.351053611000705257e-02
4.650000000000000244e-01,-3.423734556445760108e-02
4.799999999999999822e-01,-3.492744151808307301e-02
4.949999999999999956e-01,-3.557849758830439191e-02
5.100000000000000089e-01,-3.618862454512901394e-02
5.250000000000000222e-01,-3.675677436651775265e-02
5.400000000000000355e-01,-3.728299522906484281e-02
5.550000000000000488e-01,-3.776798740480093175e-02
5.700000000000000622e-01,-3.821121243981612237e-02
5.849999999999999645e-01,-3.860792551872373884e-02
5.999999999999999778e-01,-3.894894949982932036e-02
6.149999999999999911e-01,-3.922751544141311192e-02
6.300000000000000044e-01,-3.944481083856293813e-02
6.450000000000000178e-01,-3.960188831672552950e-02
6.600000000000000311e-01,-3.969198879157691956e-02
6.750000000000000444e-01,-3.971234773440598248e-02
6.900000000000000577e-01,-3.967054740347734226e-02
7.049999999999999600e-01,-3.954280415605864601e-02
7.199999999999999734e-01,-3.924933161252464053e-02
7.349999999999999867e-01,-3.881705147830737113e-02
7.500000000000000000e-01,-3.839171898322331355e-02
7.650000000000000133e-01,-3.793945499702201796e-02
7.800000000000000266e-01,-3.741560118616903130e-02
7.950000000000000400e-01,-3.666417847434547128e-02
8.100000000000000533e-01,-3.560840706699488351e-02
8.250000000000000666e-01,-3.468446284428442633e-02
8.399999999999999689e-01,-3.393397135414617100e-02
8.549999999999999822e-01,-3.322566520385955569e-02
8.699999999999999956e-01,-3.234558868685401961e-02
8.850000000000000089e-01,-3.144527998661524049e-02
9.000000000000000222e-01,-3.050353086560273277e-02
9.150000000000000355e-01,-2.955190528763610228e-02
9.300000000000000488e-01,-2.870917428983267225e-02
9.450000000000000622e-01,-2.781908125956027503e-02
9.599999999999999645e-01,-2.684601950175409882e-02
9.749999999999999778e-01,-2.690175816833462880e-02
9.899999999999999911e-01,-2.660890702724138732e-02
1.005000000000000115e+00,-2.433371470382371740e-02
1.020000000000000018e+00,-2.363185341624599381e-02
1.034999999999999920e+00,-2.273053054134321904e-02
1.050000000000000044e+00,-2.035266029566443202e-02
1.064999999999999947e+00,-1.811755076931570452e-02
1.080000000000000071e+00,-1.573069139539606809e-02
1.094999999999999973e+00,-1.398805149515958308e-02
1.110000000000000098e+00,-1.152845008734794743e-02
1.125000000000000000e+00,-8.979446169619232157e-03
1.140000000000000124e+00,-4.614787594149297005e-03
1.155000000000000027e+00,-1.181887154468649198e-05
1.169999999999999929e+00,1.981478682396080240e-03
1.185000000000000053e+00,4.153814385045934837e-03
1.199999999999999956e+00,6.321961286877401248e-03
1.215000000000000080e+00,8.189983736485929172e-03
1.229999999999999982e+00,1.043493133127508521e-02
1.245000000000000107e+00,1.276783653104630011e-02
1.260000000000000009e+00,1.479800797064737689e-02
1.275000000000000133e+00,1.824078292635622142e-02
1.290000000000000036e+00,2.218029037282627167e-02
1.304999999999999938e+00,2.604345815134150033e-02
1.320000000000000062e+00,2.995138400676620322e-02
1.334999999999999964e+00,3.407490284346696707e-02
1.350000000000000089e+00,3.862586849979585124e-02
