s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
0.000000000000000000e+00,-1.757071242153540047e-01,1.034215694928354168e+01,5.385436863760407339e-02,4.700373773804996519e-02,8.015611356205651350e-02,6.190744690960989227e-02,5.530818688244221182e-01,4.048648380462410157e-01,4.205329312933660246e-02,3.040855414670656565e+00,2.476073242093856308e+01,3.993672142290370930e-01,8.237705908500928542e-01,1.284000245788940564e+00,1.755226256235231874e+00,2.131386643490372101e+00
1.499999999999999944e-02,-9.332690158418829873e-02,1.041233373922008099e+01,6.188851550720286809e-02,5.365119400184366338e-02,5.289748675506784903e-02,3.460425176637482725e-02,5.238890363199757427e-01,4.440027762579459303e-01,3.210818742207827148e-02,2.326660614341110378e+00,1.046418740577563788e+01,4.398035792558874224e-01,8.417684657207403776e-01,1.290909484849857014e+00,1.748413535241787109e+00,2.108418836988437572e+00
2.999999999999999889e-02,-9.182751621359057370e-02,1.042028558172064123e+01,6.019054341852221601e-02,5.352351487453872736e-02,5.202107809127167609e-02,3.431262202992038657e-02,5.233268182456701778e-01,4.444735502811445471e-01,3.219963147318526814e-02,2.320450544171250851e+00,1.038993371829103651e+01,4.401352841069470778e-01,8.427478654950311121e-01,1.290767572793824147e+00,1.749702486911842936e+00,2.107099994454439074e+00
4.499999999999999833e-02,-9.032870291741049162e-02,1.043323700564454981e+01,5.850684316634993665e-02,5.342280022189439120e-02,5.112365524085048935e-02,3.434597454620472862e-02,5.230995391638697534e-01,4.445822161073885170e-01,3.231824472874179899e-02,2.317833419648596571e+00,1.034732235544088752e+01,4.412548353676525870e-01,8.416682264148549475e-01,1.289042273810378392e+00,1.751627653036187393e+00,2.106291494198311742e+00
5.999999999999999778e-02,-8.882563415491599723e-02,1.044733790284588970e+01,5.682229647675185458e-02,5.330894245157299233e-02,5.023244331386984840e-02,3.429886572185540661e-02,5.229332027425659390e-01,4.446239309682996077e-01,3.244286628913468223e-02,2.316420111152253103e+00,1.029491447602750220e+01,4.433366115213204783e-01,8.403370074938329992e-01,1.285692731051669035e+00,1.753295279377958149e+00,2.108148867275417171e+00
7.499999999999999722e-02,-8.732836987636471981e-02,1.046234105434410289e+01,5.515373293488131518e-02,5.317810652261634186e-02,4.934601463368025465e-02,3.413456413362224440e-02,5.228074647417246812e-01,4.446221578623351656e-01,3.257037739594027814e-02,2.316086013724386827e+00,1.023053635705993969e+01,4.440535648557760728e-01,8.409061141235026904e-01,1.284834754852534733e+00,1.753723696183895342e+00,2.106942243563397543e+00
8.999999999999999667e-02,-8.584088341399112587e-02,1.047816447724119016e+01,5.351787483190371952e-02,5.303013483703190867e-02,4.846757875716917879e-02,3.385292508028348718e-02,5.227177074126634349e-01,4.445831898159905426e-01,3.269910277134589760e-02,2.316805558981460678e+00,1.015349547538274422e+01,4.459857912406537950e-01,8.418615410427687795e-01,1.285916483658445131e+00,1.753988956640479824e+00,2.105631437214005253e+00
1.049999999999999961e-01,-8.436667388708798954e-02,1.049475541907365184e+01,5.193089022481044842e-02,5.286516899681703574e-02,4.760026370797590389e-02,3.346340578237146091e-02,5.226607064606501041e-01,4.445112157917175399e-01,3.282807774763130820e-02,2.318562472848160638e+00,1.006330721324000343e+01,4.465664108644819552e-01,8.427088082978329009e-01,1.284933497969921401e+00,1.755891377910165252e+00,2.107175206183609983e+00
1.199999999999999956e-01,-8.290887278701004892e-02,1.051206965423802409e+01,5.040800569158054162e-02,5.268344067988375845e-02,4.674684049298817590e-02,3.297794525653564846e-02,5.226339047661837656e-01,4.444093861970585535e-01,3.295670903675721602e-02,2.321337890374340240e+00,9.959339739599986530e+00,4.470945492495517204e-01,8.417536784765573543e-01,1.283877553001396166e+00,1.756599492562505693e+00,2.107848166741581153e+00
1.350000000000000089e-01,-8.146970366771591476e-02,1.053006831521273945e+01,4.896268968511897218e-02,5.248525976807558169e-02,4.590968823203019078e-02,3.240866435526009587e-02,5.226356641014380244e-01,4.442796946952321524e-01,3.308464120332992725e-02,2.325108237830245450e+00,9.840687115743570246e+00,4.491474467832340944e-01,8.409512993167259642e-01,1.283379423443514744e+00,1.756660880534551827e+00,2.107135813802203383e+00
1.499999999999999944e-01,-8.005007494012672531e-02,1.054871758963736994e+01,4.760533562163933585e-02,5.227098108055244080e-02,4.509078067022997266e-02,3.176699414665928867e-02,5.226654004561919198e-01,4.441229214006769399e-01,3.321167814313096683e-02,2.329845839281937891e+00,9.706125467844310961e+00,4.508375335281014640e-01,8.414334131715975884e-01,1.281454031404022587e+00,1.756088432582278536e+00,2.107179411671736613e+00
1.650000000000000078e-01,-7.864945085578882444e-02,1.056798860879163193e+01,4.634167755807131611e-02,5.204095111493897696e-02,4.429170507791980321e-02,3.106342773901763984e-02,5.227235439109365611e-01,4.439387308149670419e-01,3.333772527409645248e-02,2.335520630238613560e+00,9.554133217295117220e+00,4.522401710532097940e-01,8.413114320738732665e-01,1.281322944540441044e+00,1.757839688013512314e+00,2.105858975918782683e+00
1.799999999999999933e-01,-7.726599753585926267e-02,1.058785731805944508e+01,4.517136770591524686e-02,5.179544590099377510e-02,4.351369693972098607e-02,3.030766364828139936e-02,5.228113772425161399e-01,4.437258702372236518e-01,3.346275252026054137e-02,2.342102175902084138e+00,9.382978741346647666e+00,4.547107354480379171e-01,8.396357550411936987e-01,1.280936433023578402e+00,1.757814298327072144e+00,2.105842847132560980e+00
1.950000000000000067e-01,-7.589693000190289585e-02,1.060830470665621839e+01,4.408718616201080104e-02,5.153460673795469404e-02,4.275766226847532714e-02,2.950900727409833113e-02,5.229308191728891941e-01,4.434824005827394111e-01,3.358678024437142945e-02,2.349561572924133035e+00,9.190874604397619052e+00,4.533035805866795220e-01,8.391093816599948241e-01,1.282269462061931264e+00,1.759507798265890210e+00,2.105713987057046932e+00
2.099999999999999922e-01,-7.453894806156301234e-02,1.062931781310393831e+01,4.307523940873213275e-02,5.125837905326796617e-02,4.202416884412268211e-02,2.867690106348095083e-02,5.230842089668873429e-01,4.432059070112398524e-01,3.370988402187271443e-02,2.357873120682695944e+00,8.976186953152950565e+00,4.540050409255620423e-01,8.409036475770775843e-01,1.282423303838836404e+00,1.761729366766919602e+00,2.106068942901772711e+00
2.250000000000000056e-01,-7.318863844177012079e-02,1.065089171074978935e+01,4.211626755295994062e-02,5.096646085563946021e-02,4.131340656911610537e-02,2.782144899203001231e-02,5.232741324555261198e-01,4.428936593286010304e-01,3.383220821587259314e-02,2.367015816490114499e+00,8.957391218029343349e+00,4.563277890919300583e-01,8.395277111230996514e-01,1.282730271983599568e+00,1.758517634240593930e+00,2.104605896067881954e+00
2.399999999999999911e-01,-7.184273490611839397e-02,1.067303233549188235e+01,4.118789312767379140e-02,5.065826920228686664e-02,4.062513524908470397e-02,2.695380042308553881e-02,5.235033114196283588e-01,4.425427128169183710e-01,3.395397576345324936e-02,2.376974711042325161e+00,9.029992790222076238e+00,4.573457956110736911e-01,8.418518992853151195e-01,1.282694516005580265e+00,1.758025924179616561e+00,2.104995010827737101e+00
2.550000000000000044e-01,-7.049816215580310963e-02,1.069575967202830569e+01,4.026740522756862284e-02,5.033293347370042942e-02,3.995864746559745634e-02,2.608626330243594624e-02,5.237745622309181170e-01,4.421499547236597549e-01,3.407548304542204476e-02,2.387742010959376771e+00,9.110400049001111000e+00,4.570358292069279238e-01,8.425298777014370577e-01,1.282031995365568333e+00,1.757815443178370796e+00,2.103444321464996491e+00
2.700000000000000178e-01,-6.915183388656806485e-02,1.071911061590698644e+01,3.933456370874205410e-02,4.998932124148657702e-02,3.931276998319136601e-02,2.523203196728686371e-02,5.240908176170362420e-01,4.417121089765557729e-01,3.419707340640814469e-02,2.399317677089624734e+00,9.198973483802689088e+00,4.573407710704077700e-01,8.434242593856625669e-01,1.279870267611824541e+00,1.758020813950213590e+00,2.104218399377514537e+00
2.850000000000000311e-01,-6.780021942066100094e-02,1.074314090430041446e+01,3.837394548368340541e-02,4.962609572277622283e-02,3.868590962475598749e-02,2.440445230039166996e-02,5.244551979844950251e-01,4.412257127523794842e-01,3.431908926312531721e-02,2.411709295416395449e+00,9.296027513442673751e+00,4.575559674641159202e-01,8.421946059738690815e-01,1.279988097266592018e+00,1.757331496665113235e+00,2.105990719282512469e+00
2.999999999999999889e-01,-6.643873093472893454e-02,1.076792589103292208e+01,3.737648038577845444e-02,4.924179510659248277e-02,3.807612557486093896e-02,2.361582143965828412e-02,5.248711154467761153e-01,4.406870754616389885e-01,3.444180909158502807e-02,2.424931248201545486e+00,9.401817019430204425e+00,4.588524826896642761e-01,8.411822002978444068e-01,1.279329299443515922e+00,1.758118279896274894e+00,2.106816945011128261e+00
3.150000000000000022e-01,-6.506101777224741756e-02,1.079356050722349813e+01,3.633995756894620871e-02,4.883491755918199784e-02,3.748119181705700936e-02,2.287583742071973986e-02,5.253423933514802524e-01,4.400922262134653873e-01,3.456538043505467950e-02,2.439003543059600876e+00,9.516510331337133977e+00,4.624447187024303685e-01,8.411578458454506135e-01,1.278351771459468100e+00,1.754858491015643285e+00,2.106275331562298625e+00
3.300000000000000155e-01,-6.365829064910973056e-02,1.082015920547898880e+01,3.526839603453393174e-02,4.840399621138685021e-02,3.689861358319381640e-02,2.218995413914269521e-02,5.258733852712241807e-01,4.394368527947564718e-01,3.468976193401913932e-02,2.453950716581941194e+00,9.640145612471533454e+00,4.642859612859301932e-01,8.388374709673038776e-01,1.276706222433059645e+00,1.751985560333373382e+00,2.104077661970539470e+00
3.450000000000000289e-01,-6.221882850969501222e-02,1.084785663904112241e+01,3.417030289686474182e-02,4.794765804576222451e-02,3.632558604067165353e-02,2.155799250387971724e-02,5.264690791646248202e-01,4.387162363098048301e-01,3.481468452557045373e-02,2.469800640559628668e+00,9.775770261493198277e+00,4.659030075332984966e-01,8.377792478541752352e-01,1.275127100844676731e+00,1.755429601640274839e+00,2.103925650380685131e+00
