s,rho,reach,curv_radius,half_nonlocal_sep
0.000000000000000000e+00,-1.949449340802670294e-01,2.937783564599233052e-02,2.937783564599233052e-02,4.533542957355574804e-02
1.499999999999999944e-02,-1.121277875479377573e-01,7.766330409182414796e-02,7.766330409182414796e-02,9.550366434536984583e-02
2.999999999999999889e-02,-1.111388461179416559e-01,7.777279496550651428e-02,7.777279496550651428e-02,9.612075802420649850e-02
4.499999999999999833e-02,-1.101343937320558852e-01,7.831504725138631329e-02,7.831504725138631329e-02,9.521896133119388261e-02
5.999999999999999778e-02,-1.090288093472164266e-01,7.908778280248665582e-02,7.908778280248665582e-02,9.366272753369088433e-02
7.499999999999999722e-02,-1.078376716452247169e-01,8.004064411590024186e-02,8.004064411590024186e-02,9.198869233112770549e-02
8.999999999999999667e-02,-1.065930112200234453e-01,8.113329448126084531e-02,8.113329448126084531e-02,9.059436502206680286e-02
1.049999999999999961e-01,-1.053256333780354104e-01,8.233292267531454323e-02,8.233292267531454323e-02,8.968358000569418009e-02
1.199999999999999956e-01,-1.040607102281381063e-01,8.360821718709635086e-02,8.360821718709635086e-02,8.928902924533781149e-02
1.350000000000000089e-01,-1.028191446744314008e-01,8.438788947979973531e-02,8.438788947979973531e-02,8.933197549316888864e-02
1.499999999999999944e-01,-1.016178153994200528e-01,8.332226022113643771e-02,8.332226022113643771e-02,8.968725825654733086e-02
1.650000000000000078e-01,-1.004676345070428384e-01,8.195461422560607057e-02,8.195461422560607057e-02,9.023886050120978608e-02
1.799999999999999933e-01,-9.937142181313886324e-02,8.033062315365614714e-02,8.033062315365614714e-02,9.091879010719373932e-02
1.950000000000000067e-01,-9.832288474817672819e-02,7.851464760523663156e-02,7.851464760523663156e-02,9.172626722936395860e-02
2.099999999999999922e-01,-9.730647608744819044e-02,7.659223603402165459e-02,7.659223603402165459e-02,9.106926707535874244e-02
2.250000000000000056e-01,-9.629784000993904525e-02,7.468118430526074492e-02,7.468118430526074492e-02,8.935488093892696160e-02
2.399999999999999911e-01,-9.526558210661732751e-02,7.295296809575776975e-02,7.295296809575776975e-02,8.788613428880416578e-02
2.550000000000000044e-01,-9.417547497994226136e-02,7.166185127303967284e-02,7.166185127303967284e-02,8.309187560579404941e-02
2.700000000000000178e-01,-9.299628150193807452e-02,7.117080037366435574e-02,7.117080037366435574e-02,7.764964138254183690e-02
2.850000000000000311e-01,-9.170221199899039610e-02,7.196093924208397941e-02,7.196093924208397941e-02,7.230370656022430675e-02
2.999999999999999889e-01,-9.026829949534721786e-02,6.752072272252308827e-02,7.463483639767778954e-02,6.752072272252308827e-02
3.150000000000000022e-01,-8.867185382109184222e-02,6.390080639183132183e-02,7.989850784843294251e-02,6.390080639183132183e-02
3.300000000000000155e-01,-8.691580249096626798e-02,6.216824417920398249e-02,7.222015299581892311e-02,6.216824417920398249e-02
3.450000000000000289e-01,-8.500142437177600485e-02,6.305273070000111391e-02,6.483032549062185679e-02,6.305273070000111391e-02
3.599999999999999867e-01,-8.273402086316090920e-02,5.825617352829999540e-02,5.825617352829999540e-02,6.203500669316200367e-02
3.750000000000000000e-01,-7.983316979888564757e-02,5.406562973813766604e-02,5.406562973813766604e-02,5.729548147726623575e-02
3.900000000000000133e-01,-7.649665422037452145e-02,4.918181775872862427e-02,5.536304932554955011e-02,4.918181775872862427e-02
4.050000000000000266e-01,-7.168390717675388046e-02,4.111320719398664503e-02,6.565371199962315163e-02,4.111320719398664503e-02
4.199999999999999845e-01,-6.779916025936154333e-02,4.493925796123635769e-02,6.161053095733509677e-02,4.493925796123635769e-02
4.349999999999999978e-01,-6.103158893621576236e-02,3.658081365196863555e-02,5.299145435712179775e-02,3.658081365196863555e-02
4.500000000000000111e-01,-5.512703300604664819e-02,3.372310045312301025e-02,5.958043193702357992e-02,3.372310045312301025e-02
4.650000000000000244e-01,-4.780133273908634267e-02,3.348980598187334401e-02,6.052395087636725651e-02,3.348980598187334401e-02
4.799999999999999822e-01,-3.875760461326553663e-02,3.229974341951179218e-02,5.779433803023365651e-02,3.229974341951179218e-02
4.949999999999999956e-01,-2.563903968328023683e-02,2.800660313904583532e-02,5.494061837558449068e-02,2.800660313904583532e-02
5.100000000000000089e-01,2.471794762420120774e-03,2.368489674169727693e-02,5.193418420433588978e-02,2.368489674169727693e-02
5.250000000000000222e-01,1.038774988183852055e-02,2.561783553963675741e-02,4.858186907028234913e-02,2.561783553963675741e-02
5.400000000000000355e-01,5.536848674699466205e-02,2.311836564281869941e-02,4.591611533658904176e-02,2.311836564281869941e-02
5.550000000000000488e-01,9.695958107303948026e-02,1.990175606388372431e-02,4.351694873154580978e-02,1.990175606388372431e-02
5.700000000000000622e-01,9.853187452798778390e-02,2.351990618861952639e-02,4.154456110160949234e-02,2.351990618861952639e-02
5.849999999999999645e-01,1.246427205531439875e-01,2.790268688356711477e-02,3.853343472155808941e-02,2.790268688356711477e-02
