f,rho,cyc0,cyc1,cyc2,cyc3,reach,curv_radius,half_nonlocal_sep,L,spacing,eps_over_reach,spacing_over_eps
5.000000000000000278e-02,1.044632755420031416e-03,-3.490054765099768076e-03,-2.208502781507907045e-04,3.111168344709081251e-03,1.324091122262134991e-03,9.918497443201848562e-02,6.840561269646804332e-01,9.918497443201848562e-02,6.296842414067516103e+00,2.459704067995123478e-02,3.024651684571642574e-01,8.199013559983745481e-01
1.000000000000000056e-01,4.146202054875892766e-03,-4.972667272769445111e-03,1.654944500174913955e-04,5.246200716289377113e-03,3.358809438404281988e-03,8.827651193373886596e-02,4.943556297533100441e-01,8.827651193373886596e-02,6.340774315307688980e+00,2.476864966917066008e-02,3.398412481739000457e-01,8.256216556390220118e-01
1.499999999999999944e-01,9.331926086473651960e-03,-4.450142963054547381e-03,1.034940048704284781e-03,6.874832265022943686e-03,6.559116883816658132e-03,7.728438296093531612e-02,3.720051896399101943e-01,7.728438296093531612e-02,6.415790883066460282e+00,2.506168313697836048e-02,3.881767421907735272e-01,8.353894378992786640e-01
2.000000000000000111e-01,1.666924169889783675e-02,-2.360856787575668896e-03,2.333677110506633939e-03,8.322099213198479173e-03,1.112256820794363735e-02,6.639722734765871048e-02,2.890642642304492860e-01,6.639722734765871048e-02,6.522706884481975109e+00,2.547932376750771527e-02,4.518260957331655114e-01,8.493107922502571849e-01
2.500000000000000000e-01,2.600277495200869343e-02,6.881744728655001756e-04,4.039439389908932102e-03,9.837297201314576175e-03,1.680117871896671597e-02,5.573218808795268875e-02,1.955829935820580234e-01,5.573218808795268875e-02,6.661084146058877664e+00,2.601985994554249088e-02,5.382885730712039241e-01,8.673286648514163533e-01
2.999999999999999889e-01,3.663844432831719899e-02,4.165765031259970400e-03,6.133276899767130599e-03,1.164446521291036089e-02,2.290900441385715011e-02,4.535320371147395085e-02,1.204492220662236601e-01,4.535320371147395085e-02,6.828827531734718015e+00,2.667510754583874225e-02,6.614747701364759314e-01,8.891702515279581442e-01
3.499999999999999778e-01,4.684564173861789638e-02,7.722917070864230432e-03,8.572948379402211411e-03,1.398280303232685498e-02,2.863102763160065359e-02,3.554109604378841852e-02,6.844075309544693508e-02,3.554109604378841852e-02,7.022558123043582512e+00,2.743186766813899419e-02,8.440932705912752576e-01,9.143955889379664637e-01
3.999999999999999667e-01,5.171884580270066922e-02,1.118261686963386431e-02,1.125969497011446163e-02,1.714284044388547645e-02,3.341116448186078058e-02,2.679682205614971127e-02,3.556005500245778411e-02,2.679682205614971127e-02,7.238785151822729524e+00,2.827650449930753720e-02,1.119535739616376535e+00,9.425501499769179947e-01
4.499999999999999556e-01,3.736757032268883671e-02,1.448217206476986457e-02,1.398712192183455133e-02,2.149918459928041106e-02,3.710937553458913685e-02,1.868957430930542549e-02,1.868957430930542549e-02,2.007318689194323783e-02,7.475310665161027046e+00,2.920043228578526190e-02,1.605172996640334526e+00,9.733477428595087577e-01
4.999999999999999445e-01,-1.739248610169400952e-02,1.761731067856311950e-02,1.640121678886170137e-02,2.752990789114308570e-02,3.989877197926860325e-02,1.355952021015833890e-02,1.355952021015833890e-02,1.714998733795329577e-02,7.731576338890839395e+00,3.020147007379234139e-02,2.212467663680681262e+00,1.006715669126411417e+00
5.499999999999999334e-01,-9.756190259406115339e-02,2.060559234011030347e-02,1.822342046804975232e-02,3.578902219275117286e-02,4.207871298491860923e-02,1.732054804106084381e-02,1.732054804106084381e-02,1.935652281235053160e-02,8.005032350220478321e+00,3.126965761804874344e-02,1.732046811040891754e+00,1.042321920601624763e+00
5.999999999999999778e-01,-1.553619980675621237e-01,2.346797151050410146e-02,1.954619135110555531e-02,4.675659725021422131e-02,4.393916499576108053e-02,2.479987940377628361e-02,2.621184622462629718e-02,2.479987940377628361e-02,8.288582104809032458e+00,3.237727384691028304e-02,1.209683301743470940e+00,1.079242461563676203e+00
6.500000000000000222e-01,-1.823955222670118337e-01,2.622171219310458212e-02,2.057999752993883852e-02,6.045750102957238303e-02,4.570334288690942187e-02,3.127948032673451978e-02,3.750027151097098943e-02,3.127948032673451978e-02,8.575126400154600148e+00,3.349658750060390683e-02,9.590952179074103690e-01,1.116552916686796904e+00
6.999999999999999556e-01,-1.915476058940004667e-01,2.887873950342433743e-02,2.148538174844216372e-02,7.584452427934916530e-02,4.752208118655387725e-02,3.783231692729419754e-02,4.458123484742520376e-02,3.783231692729419754e-02,8.859729878362619715e+00,3.460831983735398326e-02,7.929728453494858664e-01,1.153610661245132896e+00
7.500000000000000000e-01,-1.922221244416562891e-01,3.144600693406095909e-02,2.238189748184952338e-02,9.038058206663057703e-02,4.948979706926826677e-02,3.845707605878109780e-02,3.845707605878109780e-02,4.411222233900913975e-02,9.139125876537841364e+00,3.569971045522594283e-02,7.800905080288845772e-01,1.189990348507531381e+00
7.999999999999999334e-01,-1.890324118530391506e-01,3.392640751818574302e-02,2.336823741080748529e-02,1.007029712788360398e-01,5.166429321013354253e-02,3.398171035935124151e-02,3.398171035935124151e-02,4.419842244158358330e-02,9.411136238853359259e+00,3.676225093302093461e-02,8.828278412932932806e-01,1.225408364434031228e+00
8.499999999999999778e-01,-1.841091174742501835e-01,3.631970857034928085e-02,2.453472590579537302e-02,1.044577278576342139e-01,5.408336359391684861e-02,2.932787288423642155e-02,2.932787288423642155e-02,4.231081678014142478e-02,9.674316751040480611e+00,3.779029980875187739e-02,1.022917690567488824e+00,1.259676660291729311e+00
9.000000000000000222e-01,-1.784547090820630122e-01,3.862316558730412297e-02,2.597219318642028305e-02,1.016338776170085528e-01,5.677683490849110004e-02,2.587464322851586521e-02,2.587464322851586521e-02,4.086341020418569892e-02,9.927739746855301917e+00,3.878023338615352311e-02,1.159436276475405370e+00,1.292674446205117400e+00
9.499999999999999556e-01,-1.725608164827839852e-01,4.083126671312942157e-02,2.778023079795096176e-02,9.407412699707905224e-02,5.977481009524373418e-02,2.337104695305039850e-02,2.337104695305039850e-02,3.985600726734157134e-02,1.017085174653430713e+01,3.972988963489963721e-02,1.283639541705870579e+00,1.324329654496654518e+00
