s,rho,cyc0,cyc1,cyc2,cyc3,reach,curv_radius,half_nonlocal_sep,L,spacing,core_over_reach,spacing_over_core
0.000000000000000000e+00,-1.527424269191908490e-02,1.206838200600430094e-01,2.898416268804777235e-02,9.193443736024720092e-02,3.022785803559016604e-02,1.008428556220017924e-01,1.508160926981398642e-01,1.008428556220017924e-01,1.047407294867721284e+01,4.091434745577036264e-02,4.958209452875811940e-01,8.182869491154072250e-01
1.499999999999999944e-02,-1.499760283295933222e-02,1.526029580224895210e-01,2.651549300370400694e-02,1.097231259132613462e-01,3.121155435522986188e-02,1.605928362494191686e-01,1.605928362494191686e-01,1.679359697939827867e-01,1.071476828193487663e+01,4.185456360130811182e-02,3.113463910827519165e-01,8.370912720261621809e-01
2.999999999999999889e-02,-1.444062786249960401e-02,1.547099982699229326e-01,2.641361525053293260e-02,1.099329730124748994e-01,3.061780724177028470e-02,1.600507079939756938e-01,1.600507079939756938e-01,1.681370659695898273e-01,1.071871391102803628e+01,4.186997621495326671e-02,3.124009923272692002e-01,8.373995242990652788e-01
4.499999999999999833e-02,-1.389516677973919034e-02,1.568234568264881834e-01,2.628582016687683320e-02,1.101228281286158323e-01,2.996228005073316852e-02,1.597545480577866328e-01,1.597545480577866328e-01,1.682039246832087442e-01,1.072294061214507188e+01,4.188648676619168704e-02,3.129801348873894606e-01,8.377297353238336575e-01
5.999999999999999778e-02,-1.335983000121316461e-02,1.589397520058407898e-01,2.613175154040917048e-02,1.102946311622108322e-01,2.924914536193064588e-02,1.596725491974885225e-01,1.596725491974885225e-01,1.682572013697826996e-01,1.072744019748387778e+01,4.190406327142139759e-02,3.131408639199357857e-01,8.380812654284278684e-01
7.499999999999999722e-02,-1.283330075498267941e-02,1.610550849799038675e-01,2.595113064947015408e-02,1.104501008209689550e-01,2.848263216521847857e-02,1.590028790576276940e-01,1.590028790576276940e-01,1.683146885312171159e-01,1.073220413990110167e+01,4.192267242148867840e-02,3.144597147947139626e-01,8.384534484297735402e-01
8.999999999999999667e-02,-1.231429854410919650e-02,1.631654770152622669e-01,2.574373543560678004e-02,1.105908696009553494e-01,2.766698470284598838e-02,1.578460978234819678e-01,1.578460978234819678e-01,1.683761338281732634e-01,1.073722407815758650e+01,4.194228155530307228e-02,3.167642449794014214e-01,8.388456311060613624e-01
1.049999999999999961e-01,-1.180157864928538247e-02,1.652667962064807428e-01,2.550939659006333168e-02,1.107184785510357955e-01,2.680643793700151697e-02,1.568375358829589838e-01,1.568375358829589838e-01,1.684412438285482205e-01,1.074249178444410369e+01,4.196285853298478002e-02,3.188012341466064936e-01,8.392571706596955172e-01
1.199999999999999956e-01,-1.129393204483959690e-02,1.673547981786392691e-01,2.524799433046700722e-02,1.108343841087672949e-01,2.590519436607732415e-02,1.559631202467302025e-01,1.559631202467302025e-01,1.685097065630192237e-01,1.074799912646506428e+01,4.198437158775415734e-02,3.205886104413729898e-01,8.396874317550830913e-01
1.350000000000000089e-01,-1.079018565575246696e-02,1.694251786616949307e-01,2.495945587709403127e-02,1.109399798648045415e-01,2.496740245134197039e-02,1.552080273994954074e-01,1.552080273994954074e-01,1.685812113392384237e-01,1.075373802605962048e+01,4.200678916429539250e-02,3.221482859987856440e-01,8.401357832859077668e-01
1.499999999999999944e-01,-1.028920285293379033e-02,1.714736342934863322e-01,2.464375332073001287e-02,1.110366330594579481e-01,2.399713691238119714e-02,1.545610837799119841e-01,1.545610837799119841e-01,1.686554664698923234e-01,1.075970041645246766e+01,4.203007975176745181e-02,3.234966964336103423e-01,8.406015950353490362e-01
1.650000000000000078e-01,-9.789884096863522844e-03,1.734959266982665782e-01,2.430090156557427120e-02,1.111257308156464174e-01,2.299838108828782327e-02,1.540173446888355446e-01,1.540173446888355446e-01,1.687322155518510003e-01,1.076587820010172258e+01,4.205421171914735384e-02,3.246387613097476144e-01,8.410842343829469936e-01
