s,rho,cyc0,cyc1,cyc2,cyc3,alpha_max,alpha_p95,sigma_local,sigma_near2,sigma_near4,dist_active_to_alphamax,reach,curv_radius,half_nonlocal_sep,L,spacing,reach_controller,active_i,active_j,alpha_max_i,dlnreach_ds,gamma_hat,A_local,A_near2,A_near4,A_p95,A_max,y_core_over_reach_sq,Re_required_local,gate_Re100,gate_Re1000,gate_Re4000,gate_Re10000
0.000000000000000000e+00,-1.842229342292338659e-02,1.224585168503388860e-01,2.882957017101355976e-02,9.289051093347776289e-02,3.031681579093722934e-02,1.030342078624463031e+00,5.991222788396053378e-01,3.095599942816787409e-01,5.985273208633513642e-01,5.985273208633513642e-01,1.492167540827971539e+00,1.025752272854489749e-01,1.504090634930841663e-01,1.025752272854489749e-01,1.047661266143281011e+01,3.273941456697752883e-02,1.000000000000000000e+00,1.110000000000000000e+02,1.250000000000000000e+02,7.000000000000000000e+00,8.622989998878514939e+01,-8.621147769536221972e+01,1.817435777921424078e+00,1.820476198868280937e+00,1.820476198868280937e+00,1.820482458824085992e+00,1.825019614382379585e+00,1.520670100002612657e-01,1.447324491528252288e+01,2.763720246160098171e+01,2.763720246160098100e+02,1.105488098464039240e+03,2.763720246160098213e+03
7.499999999999999722e-03,-1.770363061869547130e-02,1.536785618113920560e-01,2.652474325959480045e-02,1.106716481484666253e-01,3.168454888037297579e-02,9.912358174196075344e-01,6.054784780480749751e-01,1.864526192054881751e-02,5.758487999889533304e-01,5.758487999889533304e-01,1.582595902509754460e+00,1.576977747353829340e-01,1.576977747353829340e-01,1.676565254540914596e-01,1.071766860007996236e+01,3.349271437524987960e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,2.845914774457838803e+01,-2.844144411395969385e+01,1.415060801831642401e+00,1.428917667139205649e+00,1.428917667139205649e+00,1.429654515400067494e+00,1.439247755801241979e+00,6.433819201683725619e-02,4.393554701731171974e+01,9.104245358374390307e+00,9.104245358374390662e+01,3.641698143349756265e+02,9.104245358374389525e+02
1.499999999999999944e-02,-1.749483411242327979e-02,1.547032719146742286e-01,2.646180910078319709e-02,1.106913397269323335e-01,3.134790984692876342e-02,9.854709637514369458e-01,6.053468809469257916e-01,1.661619995546496226e-02,5.872878197361449670e-01,5.872878197361449670e-01,1.576776067563647521e+00,1.571944651321394715e-01,1.571944651321394715e-01,1.677908621121854404e-01,1.071983107643627875e+01,3.349947211386337248e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-4.075355845205876903e-01,4.250304186330109424e-01,-2.059450022254243062e-02,-6.493147505826118299e-03,-6.493147505826118299e-03,-6.046906299782158628e-03,3.345997748617412278e-03,6.475085121207503625e-02,inf,-1.333511419696891132e-01,-1.333511419696891132e+00,-5.334045678787564526e+00,-1.333511419696891132e+01
2.249999999999999917e-02,-1.729514757487394389e-02,1.557233246574625252e-01,2.639464114683301790e-02,1.106746949522299100e-01,3.099351212485764936e-02,9.798694746165161895e-01,6.050280996511953058e-01,1.437714285602614134e-02,5.978764551152360163e-01,5.978764551152360163e-01,1.571107694992452286e+00,1.567367034368366829e-01,1.567367034368366829e-01,1.679231150910391879e-01,1.072193306074963992e+01,3.350604081484262475e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-3.559692671972243261e-01,3.732644147720982630e-01,-1.798632695248585794e-02,-3.651852829619154327e-03,-3.651852829619154327e-03,-3.476162710740130033e-03,5.732338270719864945e-03,6.512962328526836209e-02,inf,-1.171442698701072871e-01,-1.171442698701072871e+00,-4.685770794804291484e+00,-1.171442698701072871e+01
2.999999999999999889e-02,-1.709840209940737682e-02,1.567434496367283714e-01,2.632007036889838850e-02,1.106507528313907390e-01,3.061897596045399725e-02,9.744181238612562579e-01,6.121705046379760651e-01,1.247039247134971648e-02,6.076456385214872302e-01,6.076456385214872302e-01,1.565462585006372587e+00,1.563573560309590438e-01,1.563573560309590438e-01,1.680550265945700283e-01,1.072410141771795367e+01,3.351281693036860243e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-2.921307506841941404e-01,3.092291527836015241e-01,-1.481496391163198562e-02,-2.643440052333750553e-04,-2.643440052333750553e-04,-1.537217852648639855e-04,8.702371364267337192e-03,6.544603596314521599e-02,inf,-9.695806609533655362e-02,-9.695806609533654807e-01,-3.878322643813461923e+00,-9.695806609533654807e+00
3.749999999999999861e-02,-1.690430813303813243e-02,1.577629146954549477e-01,2.623801713228852625e-02,1.106199468741248526e-01,3.022509543373085028e-02,9.691228372262113977e-01,6.230181058676248496e-01,1.103016354631420476e-02,6.166371215688425389e-01,6.166371215688425389e-01,1.559841927629223912e+00,1.560513918752607920e-01,1.560513918752607920e-01,1.681864145896751483e-01,1.072633486370429878e+01,3.351979644907593370e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-2.326523962705095983e-01,2.495567044035477411e-01,-1.188582120189144407e-02,2.861941790528442411e-03,2.861941790528442411e-03,3.017331755670311314e-03,1.144568694712719790e-02,6.570292276422404210e-02,inf,-7.809331924172500938e-02,-7.809331924172501216e-01,-3.123732769669000486e+00,-7.809331924172501438e+00
4.499999999999999833e-02,-1.671259733188107388e-02,1.587809667245450862e-01,2.614841367045000337e-02,1.105826580327081421e-01,2.981267340467955856e-02,9.639889696594302615e-01,6.336173329224707995e-01,1.017481126211470903e-02,6.248935112618615451e-01,6.248935112618615451e-01,1.554247202128439032e+00,1.558126533283596404e-01,1.558126533283596404e-01,1.683170861279602026e-01,1.072863192021253376e+01,3.352697475066417077e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-1.782575253354252709e-01,1.949701226673063448e-01,-9.219786822385783384e-03,5.704097399920332080e-03,5.704097399920332080e-03,5.915890703815320298e-03,1.393651551480315498e-02,6.590441907405872324e-02,inf,-6.076246945159968771e-02,-6.076246945159968771e-01,-2.430498778063987508e+00,-6.076246945159969215e+00
5.249999999999999806e-02,-1.652300648702214464e-02,1.597968418979140437e-01,2.605119719065951411e-02,1.105392739651976236e-01,2.938251366910259871e-02,9.590212897798198188e-01,6.432094441679271357e-01,1.000285145132679028e-02,6.324580724479498262e-01,6.324580724479498262e-01,1.548679973954025346e+00,1.556346892023223183e-01,1.556346892023223183e-01,1.684468422890406936e-01,1.073099113567983842e+01,3.353434729899949784e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-1.290459451186620754e-01,1.455689516056842270e-01,-6.809697216617120914e-03,8.267510550087829937e-03,8.267510550087829937e-03,8.527931958297133366e-03,1.617757590192610978e-02,6.605522514546154078e-02,inf,-4.498160828160667479e-02,-4.498160828160666647e-01,-1.799264331264266659e+00,-4.498160828160667535e+00
5.999999999999999778e-02,-1.633527759751450883e-02,1.608097660420218789e-01,2.594630966618755377e-02,1.104901884203469964e-01,2.893541927133827865e-02,9.542239998652192190e-01,6.457140131356874369e-01,1.058886565113500468e-02,6.393737560609514814e-01,6.393737560609514814e-01,1.543141877008988638e+00,1.555113401800888584e-01,1.555113401800888584e-01,1.685754799501582857e-01,1.073341108524457610e+01,3.354190964138929754e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-8.463674924540498523e-02,1.009720268429194906e-01,-4.627691180797568506e-03,1.057870234243709143e-02,1.057870234243709143e-02,1.073203370517717033e-02,1.819297040325773204e-02,6.616005452696589739e-02,inf,-3.061683008555263208e-02,-3.061683008555263208e-01,-1.224673203422105283e+00,-3.061683008555263541e+00
6.750000000000000444e-02,-1.614915799636263555e-02,1.618189552657961772e-01,2.583369758187172710e-02,1.104358003076994083e-01,2.847219090040391948e-02,9.496007510148503084e-01,6.482279009445580664e-01,1.198114041962715717e-02,6.456817303685233878e-01,6.456817303685233878e-01,1.537634594357868645e+00,1.554372283597140192e-01,1.554372283597140192e-01,1.687027933977946204e-01,1.073589036968267330e+01,3.354965740525835127e-02,0.000000000000000000e+00,1.340000000000000000e+02,1.340000000000000000e+02,9.000000000000000000e+00,-4.427534069121463745e-02,6.042449868757727299e-02,-2.630327110978436522e-03,1.268034298576569720e-02,1.268034298576569720e-02,1.274186033057809163e-02,2.002324898119286004e-02,6.622315924198822479e-02,inf,-1.741885711288438526e-02,-1.741885711288438388e-01,-6.967542845153753550e-01,-1.741885711288438277e+00
