z,tube_radius_a,numerical_vorticity_flux,centerline_omega_z
-3.000000000000000000e+00,1.800224816770233105e-01,9.999999999092584746e-01,9.821925568225992720e+00
-2.500000000000000000e+00,1.800911051194400703e-01,9.999999999092586966e-01,9.814441734672589845e+00
-2.000000000000000000e+00,1.803684239899435993e-01,9.999999999092584746e-01,9.784285263953217182e+00
-1.500000000000000000e+00,1.814774031693273115e-01,9.999999999092584746e-01,9.665070249683164860e+00
-1.000000000000000000e+00,1.857324175898868723e-01,9.999999999092586966e-01,9.227301339445162398e+00
-5.000000000000000000e-01,1.997816111441418352e-01,9.999999999092586966e-01,7.975154494133301242e+00
0.000000000000000000e+00,2.299999999999999822e-01,9.999999999092586966e-01,6.017200116895855544e+00
5.000000000000000000e-01,2.602183888558581848e-01,9.999999999092585856e-01,4.700825826001637786e+00
1.000000000000000000e+00,2.742675824101131199e-01,9.999999999092586966e-01,4.231566502848161271e+00
1.500000000000000000e+00,2.785225968306727085e-01,9.999999999092588077e-01,4.103262072058664778e+00
2.000000000000000000e+00,2.796315760100563930e-01,9.999999999092584746e-01,4.070780697202334153e+00
2.500000000000000000e+00,2.799088948805599220e-01,9.999999999092585856e-01,4.062718466266260542e+00
3.000000000000000000e+00,2.799775183229766817e-01,9.999999999092585856e-01,4.060727138096346778e+00
