n,Gamma,delta,Re,core_over_delta,a,U,tau,stage_energy_proxy,omega_proxy
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01,2.000000000000000000e+00,7.071067811865475727e-01,1.767766952966368932e-01,8.000000000000000000e+00,3.125000000000000000e-02,1.000000000000000000e+00,6.399999999999998579e+01
2.000000000000000000e+00,4.000000000000000000e+00,6.250000000000000000e-02,4.000000000000000000e+00,5.000000000000000000e-01,3.125000000000000000e-02,6.400000000000000000e+01,9.765625000000000000e-04,1.000000000000000000e+00,4.096000000000000000e+03
3.000000000000000000e+00,8.000000000000000000e+00,1.562500000000000000e-02,8.000000000000000000e+00,3.535533905932737864e-01,5.524271728019902912e-03,5.120000000000000000e+02,3.051757812500000000e-05,1.000000000000000000e+00,2.621439999999999418e+05
4.000000000000000000e+00,1.600000000000000000e+01,3.906250000000000000e-03,1.600000000000000000e+01,2.500000000000000000e-01,9.765625000000000000e-04,4.096000000000000000e+03,9.536743164062500000e-07,1.000000000000000000e+00,1.677721600000000000e+07
5.000000000000000000e+00,3.200000000000000000e+01,9.765625000000000000e-04,3.200000000000000000e+01,1.767766952966368932e-01,1.726334915006219660e-04,3.276800000000000000e+04,2.980232238769531250e-08,1.000000000000000000e+00,1.073741823999999762e+09
6.000000000000000000e+00,6.400000000000000000e+01,2.441406250000000000e-04,6.400000000000000000e+01,1.250000000000000000e-01,3.051757812500000000e-05,2.621440000000000000e+05,9.313225746154785156e-10,1.000000000000000000e+00,6.871947673600000000e+10
7.000000000000000000e+00,1.280000000000000000e+02,6.103515625000000000e-05,1.280000000000000000e+02,8.838834764831844659e-02,5.394796609394436438e-06,2.097152000000000000e+06,2.910383045673370361e-11,1.000000000000000000e+00,4.398046511103999023e+12
8.000000000000000000e+00,2.560000000000000000e+02,1.525878906250000000e-05,2.560000000000000000e+02,6.250000000000000000e-02,9.536743164062500000e-07,1.677721600000000000e+07,9.094947017729282379e-13,1.000000000000000000e+00,2.814749767106560000e+14
9.000000000000000000e+00,5.120000000000000000e+02,3.814697265625000000e-06,5.120000000000000000e+02,4.419417382415922330e-02,1.685873940435761387e-07,1.342177280000000000e+08,2.842170943040400743e-14,1.000000000000000000e+00,1.801439850948198000e+16
1.000000000000000000e+01,1.024000000000000000e+03,9.536743164062500000e-07,1.024000000000000000e+03,3.125000000000000000e-02,2.980232238769531250e-08,1.073741824000000000e+09,8.881784197001252323e-16,1.000000000000000000e+00,1.152921504606846976e+18
1.100000000000000000e+01,2.048000000000000000e+03,2.384185791015625000e-07,2.048000000000000000e+03,2.209708691207961165e-02,5.268356063861754334e-09,8.589934592000000000e+09,2.775557561562891351e-17,1.000000000000000000e+00,7.378697629483819008e+19
1.200000000000000000e+01,4.096000000000000000e+03,5.960464477539062500e-08,4.096000000000000000e+03,1.562500000000000000e-02,9.313225746154785156e-10,6.871947673600000000e+10,8.673617379884035472e-19,1.000000000000000000e+00,4.722366482869645214e+21
1.300000000000000000e+01,8.192000000000000000e+03,1.490116119384765625e-08,8.192000000000000000e+03,1.104854345603980582e-02,1.646361269956798229e-10,5.497558138880000000e+11,2.710505431213761085e-20,1.000000000000000000e+00,3.022314549036572266e+23
1.400000000000000000e+01,1.638400000000000000e+04,3.725290298461914062e-09,1.638400000000000000e+04,7.812500000000000000e-03,2.910383045673370361e-11,4.398046511104000000e+12,8.470329472543003391e-22,1.000000000000000000e+00,1.934281311383406680e+25
