n,Gamma,delta,Re,core_over_delta,a,U,tau,stage_energy_proxy,omega_proxy
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000167e-02,3.000000000000000000e+00,5.773502691896257311e-01,4.618802153517005682e-02,3.750000000000000000e+01,2.133333333333333436e-03,7.199999999999999734e-01,1.406250000000000227e+03
2.000000000000000000e+00,9.000000000000000000e+00,6.400000000000000307e-03,9.000000000000000000e+00,3.333333333333333148e-01,2.133333333333333436e-03,1.406250000000000000e+03,4.551111111111110924e-06,5.183999999999999719e-01,1.977539062499999767e+06
3.000000000000000000e+00,2.700000000000000000e+01,5.119999999999999768e-04,2.700000000000000000e+01,1.924500897298752622e-01,9.853444594169612919e-05,5.273437500000000000e+04,9.709037037037036413e-09,3.732479999999999687e-01,2.780914306640625000e+09
4.000000000000000000e+00,8.100000000000000000e+01,4.096000000000000086e-05,8.100000000000000000e+01,1.111111111111111049e-01,4.551111111111110924e-06,1.977539062500000000e+06,2.071261234567901475e-11,2.687385600000000152e-01,3.910660743713378906e+12
5.000000000000000000e+00,2.430000000000000000e+02,3.276800000000000119e-06,2.430000000000000000e+02,6.415002990995842536e-02,2.102068180089517874e-07,7.415771484375000000e+07,4.418690633744856257e-14,1.934917631999999998e-01,5.499366670846937000e+15
6.000000000000000000e+00,7.290000000000000000e+02,2.621440000000000477e-07,7.290000000000000000e+02,3.703703703703703498e-02,9.709037037037038067e-09,2.780914306640624523e+09,9.426540018655695505e-17,1.393140695040000210e-01,7.733484380878507008e+18
7.000000000000000000e+00,2.187000000000000000e+03,2.097152000000000328e-08,2.187000000000000000e+03,2.138334330331947281e-02,4.484412117524304840e-10,1.042842864990234222e+11,2.010995203979881769e-19,1.003061300428800123e-01,1.087521241061039643e+22
8.000000000000000000e+00,6.561000000000000000e+03,1.677721600000000172e-09,6.561000000000000000e+03,1.234567901234567833e-02,2.071261234567901475e-11,3.910660743713378418e+12,4.290123101823747348e-22,7.222041363087360055e-02,1.529326745242087351e+25
9.000000000000000000e+00,1.968300000000000000e+04,1.342177280000000355e-10,1.968300000000000000e+04,7.127781101106490935e-03,9.566745850718517264e-13,1.466497778892516562e+14,9.152262617223997814e-25,5.199869781422900711e-02,2.150615735496685174e+28
1.000000000000000000e+01,5.904900000000000000e+04,1.073741824000000264e-11,5.904900000000000000e+04,4.115226337448559153e-03,4.418690633744856257e-14,5.499366670846938000e+15,1.952482691674452784e-27,3.743906242624488179e-02,3.024303378042213943e+31
1.100000000000000000e+01,1.771470000000000000e+05,8.589934592000002437e-13,1.771470000000000000e+05,2.375927033702163790e-03,2.040905781486617286e-15,2.062262501567601600e+17,4.165296408905499104e-30,2.695612494689631627e-02,4.252926625371861242e+34
1.200000000000000000e+01,5.314410000000000000e+05,6.871947673600002000e-14,5.314410000000000000e+05,1.371742112482853340e-03,9.426540018655696738e-17,7.733484380878505984e+18,8.885965672331732070e-33,1.940840996176534938e-02,5.980678066929178305e+37
1.300000000000000000e+01,1.594323000000000000e+06,5.497558138880001789e-15,1.594323000000000000e+06,7.919756779007212271e-04,4.353932333838116753e-18,2.900056642829439468e+20,1.895672676764102849e-35,1.397405517247105218e-02,8.410328531619158849e+40
1.400000000000000000e+01,4.782969000000000000e+06,4.398046511104001353e-16,4.782969000000000000e+06,4.572473708276177259e-04,2.010995203979881769e-19,1.087521241061039853e+22,4.044101710430085941e-38,1.006131972417915674e-02,1.182702449758944334e+44
