m,q,time_ratio_q2_over_m,stage_energy_ratio_m2q,L3_or_Gamma_ratio_m,relative_core_ratio_m_minus_half,finite_budget_window
2.000000000000000000e+00,5.000000000000000104e-03,1.250000000000000060e-05,2.000000000000000042e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.085593496859515568e-03,1.293163060764989847e-05,2.034237398743806227e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.172652243059954781e-03,1.337816561381659034e-05,2.069060897223981912e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.261201321764298437e-03,1.384011967406720006e-05,2.104480528705719375e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.351266245526636704e-03,1.431802521525637364e-05,2.140506498210654682e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.442872963642820562e-03,1.481243304917699068e-05,2.177149185457128225e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.536047869626881460e-03,1.532391300740016738e-05,2.214419147850752584e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.630817808815483973e-03,1.585305459803680416e-05,2.252327123526193589e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.727210086102555581e-03,1.640046768517742240e-05,2.290884034441022232e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.825252473806271508e-03,1.696678319179304183e-05,2.330100989522508603e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,5.924973219670796355e-03,1.755265382690806135e-05,2.369989287868318542e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.026401055004918829e-03,1.815875483788220013e-05,2.410560422001967532e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.129565202960061965e-03,1.878578478866941445e-05,2.451826081184024786e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.234495386950014185e-03,1.943446636495050351e-05,2.493798154780005674e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.341221839214723072e-03,2.010554720706687819e-05,2.536488735685889229e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.449775309530786892e-03,2.079980077171647874e-05,2.579910123812314757e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.560187074070968419e-03,2.151802722340390663e-05,2.624074829628387368e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.672488944415428530e-03,2.226105435667305853e-05,2.668995577766171412e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.786713276717224429e-03,2.302973855018492275e-05,2.714685310686889771e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.902892981024643347e-03,2.382496575373964476e-05,2.761157192409857339e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.021061530763225353e-03,2.464765250938162299e-05,2.808424612305290141e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.141252972379995810e-03,2.549874700776306262e-05,2.856501188951998324e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.263501935152872138e-03,2.637923018098475923e-05,2.905400774061148855e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.387843641167991804e-03,2.729011683317316594e-05,2.955137456467196722e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.514313915467765725e-03,2.823245681009625357e-05,3.005725566187106290e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.642949196372768317e-03,2.920733620916757215e-05,3.057179678549107327e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
2.000000000000000000e+00,7.773786545980202432e-03,3.021587863123140170e-05,3.109514618392080973e-02,2.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00
