p,delta,Gamma_delta_eq_delta_minus_p,min_expected_area_stretch_K2,min_uniform_integrated_strain_J
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,3.183098861837906668e+01,1.730220150069345486e+00
0.000000000000000000e+00,7.498942093324557912e-02,1.000000000000000000e+00,5.660439166124680099e+01,2.018043286693601335e+00
0.000000000000000000e+00,5.623413251903490451e-02,1.000000000000000000e+00,1.006584242089740826e+02,2.305866423317857183e+00
0.000000000000000000e+00,4.216965034285822395e-02,1.000000000000000000e+00,1.789988032177820401e+02,2.593689559942112588e+00
0.000000000000000000e+00,3.162277660168379134e-02,1.000000000000000000e+00,3.183098861837906952e+02,2.881512696566368437e+00
0.000000000000000000e+00,2.371373705661655382e-02,1.000000000000000000e+00,5.660439166124679105e+02,3.169335833190624285e+00
0.000000000000000000e+00,1.778279410038922925e-02,1.000000000000000000e+00,1.006584242089740542e+03,3.457158969814879690e+00
0.000000000000000000e+00,1.333521432163324062e-02,1.000000000000000000e+00,1.789988032177820514e+03,3.744982106439135539e+00
0.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000000e+00,3.183098861837906497e+03,4.032805243063391387e+00
0.000000000000000000e+00,7.498942093324557912e-03,1.000000000000000000e+00,5.660439166124680014e+03,4.320628379687646792e+00
0.000000000000000000e+00,5.623413251903490971e-03,1.000000000000000000e+00,1.006584242089740656e+04,4.608451516311903084e+00
0.000000000000000000e+00,4.216965034285822048e-03,1.000000000000000000e+00,1.789988032177820787e+04,4.896274652936158489e+00
0.000000000000000000e+00,3.162277660168379394e-03,1.000000000000000000e+00,3.183098861837906588e+04,5.184097789560413894e+00
0.000000000000000000e+00,2.371373705661655382e-03,1.000000000000000000e+00,5.660439166124678741e+04,5.471920926184670186e+00
0.000000000000000000e+00,1.778279410038922752e-03,1.000000000000000000e+00,1.006584242089740874e+05,5.759744062808925591e+00
0.000000000000000000e+00,1.333521432163324062e-03,1.000000000000000000e+00,1.789988032177819987e+05,6.047567199433180996e+00
0.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000000e+00,3.183098861837906879e+05,6.335390336057437288e+00
0.000000000000000000e+00,7.498942093324558562e-04,1.000000000000000000e+00,5.660439166124679614e+05,6.623213472681692693e+00
0.000000000000000000e+00,5.623413251903490971e-04,1.000000000000000000e+00,1.006584242089740816e+06,6.911036609305948097e+00
0.000000000000000000e+00,4.216965034285822373e-04,1.000000000000000000e+00,1.789988032177820336e+06,7.198859745930204390e+00
0.000000000000000000e+00,3.162277660168379394e-04,1.000000000000000000e+00,3.183098861837906763e+06,7.486682882554459795e+00
0.000000000000000000e+00,2.371373705661655111e-04,1.000000000000000000e+00,5.660439166124681011e+06,7.774506019178716087e+00
0.000000000000000000e+00,1.778279410038922698e-04,1.000000000000000000e+00,1.006584242089740932e+07,8.062329155802970604e+00
0.000000000000000000e+00,1.333521432163323954e-04,1.000000000000000000e+00,1.789988032177820802e+07,8.350152292427226897e+00
0.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000000e+00,3.183098861837906763e+07,8.637975429051483189e+00
0.000000000000000000e+00,7.498942093324558562e-05,1.000000000000000000e+00,5.660439166124678403e+07,8.925798565675737706e+00
0.000000000000000000e+00,5.623413251903490700e-05,1.000000000000000000e+00,1.006584242089740783e+08,9.213621702299993999e+00
0.000000000000000000e+00,4.216965034285822237e-05,1.000000000000000000e+00,1.789988032177820504e+08,9.501444838924250291e+00
0.000000000000000000e+00,3.162277660168379530e-05,1.000000000000000000e+00,3.183098861837906837e+08,9.789267975548504808e+00
0.000000000000000000e+00,2.371373705661655382e-05,1.000000000000000000e+00,5.660439166124678850e+08,1.007709111217276110e+01
0.000000000000000000e+00,1.778279410038922901e-05,1.000000000000000000e+00,1.006584242089740634e+09,1.036491424879701739e+01
0.000000000000000000e+00,1.333521432163324055e-05,1.000000000000000000e+00,1.789988032177820444e+09,1.065273738542127191e+01
0.000000000000000000e+00,9.999999999999999124e-06,1.000000000000000000e+00,3.183098861837907791e+09,1.094056052204552820e+01
0.000000000000000000e+00,7.498942093324558054e-06,1.000000000000000000e+00,5.660439166124679565e+09,1.122838365866978450e+01
0.000000000000000000e+00,5.623413251903491208e-06,1.000000000000000000e+00,1.006584242089740562e+10,1.151620679529403901e+01
0.000000000000000000e+00,4.216965034285822407e-06,1.000000000000000000e+00,1.789988032177820587e+10,1.180402993191829530e+01
0.000000000000000000e+00,3.162277660168379191e-06,1.000000000000000000e+00,3.183098861837907791e+10,1.209185306854255160e+01
0.000000000000000000e+00,2.371373705661655212e-06,1.000000000000000000e+00,5.660439166124678802e+10,1.237967620516680611e+01
0.000000000000000000e+00,1.778279410038922689e-06,1.000000000000000000e+00,1.006584242089741058e+11,1.266749934179106241e+01
0.000000000000000000e+00,1.333521432163324098e-06,1.000000000000000000e+00,1.789988032177820129e+11,1.295532247841531870e+01
0.000000000000000000e+00,9.999999999999999547e-07,1.000000000000000000e+00,3.183098861837907104e+11,1.324314561503957322e+01
0.000000000000000000e+00,7.498942093324558477e-07,1.000000000000000000e+00,5.660439166124678955e+11,1.353096875166382951e+01
0.000000000000000000e+00,5.623413251903490361e-07,1.000000000000000000e+00,1.006584242089740967e+12,1.381879188828808580e+01
0.000000000000000000e+00,4.216965034285822513e-07,1.000000000000000000e+00,1.789988032177820557e+12,1.410661502491234209e+01
0.000000000000000000e+00,3.162277660168379191e-07,1.000000000000000000e+00,3.183098861837906738e+12,1.439443816153659661e+01
0.000000000000000000e+00,2.371373705661655371e-07,1.000000000000000000e+00,5.660439166124678711e+12,1.468226129816085290e+01
0.000000000000000000e+00,1.778279410038922689e-07,1.000000000000000000e+00,1.006584242089741016e+13,1.497008443478510920e+01
0.000000000000000000e+00,1.333521432163324045e-07,1.000000000000000000e+00,1.789988032177820312e+13,1.525790757140936371e+01
0.000000000000000000e+00,9.999999999999999547e-08,1.000000000000000000e+00,3.183098861837907031e+13,1.554573070803362000e+01
0.000000000000000000e+00,7.498942093324558742e-08,1.000000000000000000e+00,5.660439166124678125e+13,1.583355384465787452e+01
0.000000000000000000e+00,5.623413251903490494e-08,1.000000000000000000e+00,1.006584242089740938e+14,1.612137698128213259e+01
0.000000000000000000e+00,4.216965034285822513e-08,1.000000000000000000e+00,1.789988032177820625e+14,1.640920011790638711e+01
0.000000000000000000e+00,3.162277660168379191e-08,1.000000000000000000e+00,3.183098861837906875e+14,1.669702325453064162e+01
0.000000000000000000e+00,2.371373705661655106e-08,1.000000000000000000e+00,5.660439166124681250e+14,1.698484639115489969e+01
0.000000000000000000e+00,1.778279410038922821e-08,1.000000000000000000e+00,1.006584242089740750e+15,1.727266952777915421e+01
0.000000000000000000e+00,1.333521432163324012e-08,1.000000000000000000e+00,1.789988032177820500e+15,1.756049266440340872e+01
0.000000000000000000e+00,1.000000000000000021e-08,1.000000000000000000e+00,3.183098861837906500e+15,1.784831580102766679e+01
1.000000000000000056e-01,1.000000000000000056e-01,1.258925411794167282e+00,4.007284045420831831e+01,1.845349404719047959e+00
1.000000000000000056e-01,7.498942093324557912e-02,1.295686697517019592e+00,7.334155729652079003e+01,2.147563698174516311e+00
1.000000000000000056e-01,5.623413251903490451e-02,1.333521432163323972e+00,1.342301660104545249e+02,2.449777991629984886e+00
1.000000000000000056e-01,4.216965034285822395e-02,1.372460961007561986e+00,2.456688694834806199e+02,2.751992285085453460e+00
1.000000000000000056e-01,3.162277660168379134e-02,1.412537544622754382e+00,4.496246650592001401e+02,3.054206578540922035e+00
1.000000000000000056e-01,2.371373705661655382e-02,1.453784385607661767e+00,8.229058075394112848e+02,3.356420871996390165e+00
1.000000000000000056e-01,1.778279410038922925e-02,1.496235656094433430e+00,1.506087233877460903e+03,3.658635165451858740e+00
1.000000000000000056e-01,1.333521432163324062e-02,1.539926526059492096e+00,2.756450052079657326e+03,3.960849458907327314e+00
1.000000000000000056e-01,1.000000000000000021e-02,1.584893192461113598e+00,5.044871717057616479e+03,4.263063752362795888e+00
1.000000000000000056e-01,7.498942093324557912e-03,1.631172909227838419e+00,9.233155022114793610e+03,4.565278045818264019e+00
1.000000000000000056e-01,5.623413251903490971e-03,1.678804018122560304e+00,1.689857670199108543e+04,4.867492339273733037e+00
1.000000000000000056e-01,4.216965034285822048e-03,1.727825980507863513e+00,3.092787826794983994e+04,5.169706632729201168e+00
1.000000000000000056e-01,3.162277660168379394e-03,1.778279410038922759e+00,5.660439166124678741e+04,5.471920926184670186e+00
1.000000000000000056e-01,2.371373705661655382e-03,1.830206106311056180e+00,1.035977032624364947e+05,5.774135219640138317e+00
1.000000000000000056e-01,1.778279410038922752e-03,1.883649089489800588e+00,1.896051491107121401e+05,6.076349513095607335e+00
1.000000000000000056e-01,1.333521432163324062e-03,1.938652635952207381e+00,3.470165016904435470e+05,6.378563806551075466e+00
1.000000000000000056e-01,1.000000000000000021e-03,1.995262314968879735e+00,6.351117203845507465e+05,6.680778100006543596e+00
1.000000000000000056e-01,7.498942093324558562e-04,2.053525026457146296e+00,1.162385348837524885e+06,6.982992393462012615e+00
1.000000000000000056e-01,5.623413251903490971e-04,2.113489039836646821e+00,2.127404763328945264e+06,7.285206686917480745e+00
1.000000000000000056e-01,4.216965034285822373e-04,2.175204034019522670e+00,3.893589188439861871e+06,7.587420980372948875e+00
1.000000000000000056e-01,3.162277660168379394e-04,2.238721138568339875e+00,7.126070708149345592e+06,7.889635273828417894e+00
1.000000000000000056e-01,2.371373705661655111e-04,2.304092976055845732e+00,1.304217812405928597e+07,8.191849567283886913e+00
1.000000000000000056e-01,1.778279410038922698e-04,2.371373705661655507e+00,2.386987404224977642e+07,8.494063860739354155e+00
1.000000000000000056e-01,1.333521432163323954e-04,2.440619068041980366e+00,4.368678922900131345e+07,8.796278154194823173e+00
1.000000000000000056e-01,1.000000000000000048e-04,2.511886431509580131e+00,7.995582841204226017e+07,9.098492447650292192e+00
1.000000000000000056e-01,7.498942093324558562e-05,2.585234839562190690e+00,1.463356453948787451e+08,9.400706741105759434e+00
1.000000000000000056e-01,5.623413251903490700e-05,2.660725059798809689e+00,2.678243917726764977e+08,9.702921034561228453e+00
1.000000000000000056e-01,4.216965034285822237e-05,2.738419634264361413e+00,4.901738372413971424e+08,1.000513532801669747e+01
1.000000000000000056e-01,3.162277660168379530e-05,2.818382931264454161e+00,8.971191500731267929e+08,1.030734962147216649e+01
1.000000000000000056e-01,2.371373705661655382e-05,2.900681198693153995e+00,1.641912946552421093e+09,1.060956391492763373e+01
1.000000000000000056e-01,1.778279410038922901e-05,2.985382618917959974e+00,3.005039100811419487e+09,1.091177820838310275e+01
1.000000000000000056e-01,1.333521432163324055e-05,3.072557365267446716e+00,5.499840912008545876e+09,1.121399250183857177e+01
1.000000000000000056e-01,9.999999999999999124e-06,3.162277660168379523e+00,1.006584242089741135e+10,1.151620679529404079e+01
1.000000000000000056e-01,7.498942093324558054e-06,3.254617834980459090e+00,1.842256626389130020e+10,1.181842108874950803e+01
1.000000000000000056e-01,5.623413251903491208e-06,3.349654391578276602e+00,3.371709327009390640e+10,1.212063538220497705e+01
1.000000000000000056e-01,4.216965034285822407e-06,3.447466065731493945e+00,6.170922998998529053e+10,1.242284967566044607e+01
1.000000000000000056e-01,3.162277660168379191e-06,3.548133892335755046e+00,1.129406095434244690e+11,1.272506396911591331e+01
1.000000000000000056e-01,2.371373705661655212e-06,3.651741272548377548e+00,2.067045932368681335e+11,1.302727826257138233e+01
1.000000000000000056e-01,1.778279410038922689e-06,3.758374042884442101e+00,3.783120087446591797e+11,1.332949255602685135e+01
1.000000000000000056e-01,1.333521432163324098e-06,3.868120546330521936e+00,6.923889484952764893e+11,1.363170684948231859e+01
1.000000000000000056e-01,9.999999999999999547e-07,3.981071705534972693e+00,1.267214481478346680e+12,1.393392114293778761e+01
1.000000000000000056e-01,7.498942093324558477e-07,4.097321098135415340e+00,2.319263682007468750e+12,1.423613543639325663e+01
1.000000000000000056e-01,5.623413251903490361e-07,4.216965034285823144e+00,4.244730552955533691e+12,1.453834972984872564e+01
1.000000000000000056e-01,4.216965034285822513e-07,4.340102636447438655e+00,7.768731777664321289e+12,1.484056402330419289e+01
1.000000000000000056e-01,3.162277660168379191e-07,4.466835921509631824e+00,1.421838033777398633e+13,1.514277831675966191e+01
1.000000000000000056e-01,2.371373705661655371e-07,4.597269885308722159e+00,2.602256651604700391e+13,1.544499261021513092e+01
1.000000000000000056e-01,1.778279410038922689e-07,4.731512589614805364e+00,4.762666013955486719e+13,1.574720690367059817e+01
1.000000000000000056e-01,1.333521432163324045e-07,4.869675251658631687e+00,8.716660421061467188e+13,1.604942119712606896e+01
1.000000000000000056e-01,9.999999999999999547e-08,5.011872336272722883e+00,1.595328512926659688e+14,1.635163549058153620e+01
1.000000000000000056e-01,7.498942093324558742e-08,5.158221650723056939e+00,2.919779985930508125e+14,1.665384978403700345e+01
1.000000000000000056e-01,5.623413251903490494e-08,5.308844442309884393e+00,5.343799159334828125e+14,1.695606407749247424e+01
1.000000000000000056e-01,4.216965034285822513e-08,5.463865498818542221e+00,9.780253852314488750e+14,1.725827837094794148e+01
1.000000000000000056e-01,3.162277660168379191e-08,5.623413251903491172e+00,1.789988032177820500e+15,1.756049266440340872e+01
1.000000000000000056e-01,2.371373705661655106e-08,5.787619883491206707e+00,3.276047026715559000e+15,1.786270695785887952e+01
1.000000000000000056e-01,1.778279410038922821e-08,5.956621435290105460e+00,5.995841272856994000e+15,1.816492125131434676e+01
1.000000000000000056e-01,1.333521432163324012e-08,6.130557921498207996e+00,1.097362531005472600e+16,1.846713554476981400e+01
1.000000000000000056e-01,1.000000000000000021e-08,6.309573444801933384e+00,2.008399605083171200e+16,1.876934983822528480e+01
2.500000000000000000e-01,1.000000000000000056e-01,1.778279410038922759e+00,5.660439166124678678e+01,2.018043286693601335e+00
2.500000000000000000e-01,7.498942093324557912e-02,1.910952974970440588e+00,1.081683306414515755e+02,2.341844315395888998e+00
2.500000000000000000e-01,5.623413251903490451e-02,2.053525026457146296e+00,2.067045932368681633e+02,2.665645344098176661e+00
2.500000000000000000e-01,4.216965034285822395e-02,2.206734069084590022e+00,3.950027573860480175e+02,2.989446372800464324e+00
2.500000000000000000e-01,3.162277660168379134e-02,2.371373705661655507e+00,7.548316943483955583e+02,3.313247401502751988e+00
2.500000000000000000e-01,2.371373705661655382e-02,2.548296747979346577e+00,1.442447871917044495e+03,3.637048430205039651e+00
2.500000000000000000e-01,1.778279410038922925e-02,2.738419634264361413e+00,2.756450052079656416e+03,3.960849458907327314e+00
2.500000000000000000e-01,1.333521432163324062e-02,2.942727176209281925e+00,5.267446427379047236e+03,4.284650487609614977e+00
2.500000000000000000e-01,1.000000000000000021e-02,3.162277660168379523e+00,1.006584242089740656e+04,4.608451516311903084e+00
2.500000000000000000e-01,7.498942093324557912e-03,3.398208328942559309e+00,1.923535151979756483e+04,4.932252545014190304e+00
2.500000000000000000e-01,5.623413251903490971e-03,3.651741272548377104e+00,3.675785221135932807e+04,5.256053573716478411e+00
2.500000000000000000e-01,4.216965034285822048e-03,3.924189758484535773e+00,7.024252703682091669e+04,5.579854602418765630e+00
2.500000000000000000e-01,3.162277660168379394e-03,4.216965034285822256e+00,1.342301660104545008e+05,5.903655631121053737e+00
2.500000000000000000e-01,2.371373705661655382e-03,4.531583637600817838e+00,2.565075350684541336e+05,6.227456659823340956e+00
2.500000000000000000e-01,1.778279410038922752e-03,4.869675251658630799e+00,4.901738372413970646e+05,6.551257688525629064e+00
2.500000000000000000e-01,1.333521432163324062e-03,5.232991146814947037e+00,9.366991525291240541e+05,6.875058717227916283e+00
