m,q,available_strain_impulse_I,stage_energy_ratio,time_ratio,Jreq_area_gate,energy_sum_ok,time_sum_ok,area_gate_ok,all_three_ok
2.000000000000000000e+00,3.000000000000000062e-03,1.000000000000000000e+00,1.200000000000000025e-02,4.500000000000000114e-06,6.155716580594000398e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000062e-03,2.000000000000000000e+00,1.200000000000000025e-02,4.500000000000000114e-06,6.155716580594000398e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000062e-03,3.000000000000000000e+00,1.200000000000000025e-02,4.500000000000000114e-06,6.155716580594000398e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000062e-03,4.000000000000000000e+00,1.200000000000000025e-02,4.500000000000000114e-06,6.155716580594000398e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.059847775757609280e-03,1.000000000000000000e+00,1.223939110303043712e-02,4.681334205404394558e-06,6.135963701019659489e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.059847775757609280e-03,2.000000000000000000e+00,1.223939110303043712e-02,4.681334205404394558e-06,6.135963701019659489e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.059847775757609280e-03,3.000000000000000000e+00,1.223939110303043712e-02,4.681334205404394558e-06,6.135963701019659489e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.059847775757609280e-03,4.000000000000000000e+00,1.223939110303043712e-02,4.681334205404394558e-06,6.135963701019659489e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.120889470269591886e-03,1.000000000000000000e+00,1.248355788107836754e-02,4.869975542819807156e-06,6.116210821445319468e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.120889470269591886e-03,2.000000000000000000e+00,1.248355788107836754e-02,4.869975542819807156e-06,6.116210821445319468e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
