t,sigma,b,core_radius_sqrt_b,peak_vorticity,numerical_Gamma,relative_Gamma_error
0.000000000000000000e+00,1.359600799238518398e+00,8.000000000000000444e-01,8.944271909999158554e-01,1.193662073189215134e+00,2.999999819999993544e+00,-6.000000215185725982e-08
4.999999999999980849e-02,1.473389121932804358e+00,7.491476207935222620e-01,8.655331425159421554e-01,1.274688235063576203e+00,2.999999819999993989e+00,-6.000000200382753202e-08
1.000000000000008105e-01,1.581828764923693509e+00,6.978878886045223329e-01,8.353968449811876029e-01,1.368313842586985629e+00,2.999999819999993989e+00,-6.000000200382753202e-08
1.500000000000022427e-01,1.682277195192215302e+00,6.470148136591068466e-01,8.043723103508143568e-01,1.475900765163155270e+00,2.999999819999993989e+00,-6.000000200382753202e-08
2.000000000000036748e-01,1.772399016476344569e+00,5.972817417237329396e-01,7.728400492493469054e-01,1.598792649839722912e+00,2.999999819999993544e+00,-6.000000215185725982e-08
2.500000000000051070e-01,1.850250259885395154e+00,5.493584941046850689e-01,7.411872193344168913e-01,1.738263208449457142e+00,2.999999819999993544e+00,-6.000000215185725982e-08
2.999999999999996003e-01,1.914346578575042646e+00,5.038006359772315701e-01,7.097891489570909984e-01,1.895451474965046623e+00,2.999999819999993989e+00,-6.000000200382753202e-08
3.499999999999940936e-01,1.963712586044598529e+00,4.610321208915273972e-01,6.789934615970373288e-01,2.071286609498625086e+00,2.999999819999993544e+00,-6.000000215185725982e-08
3.999999999999885869e-01,1.997910364457733179e+00,4.213407085192614754e-01,6.491076247582225900e-01,2.266407302316761019e+00,2.999999819999993989e+00,-6.000000200382753202e-08
4.499999999999830802e-01,2.017046038209634240e+00,3.848841366118705420e-01,6.203903098952066042e-01,2.481083442299295339e+00,2.999999819999993989e+00,-6.000000200382753202e-08
4.999999999999775735e-01,2.021754222407567525e+00,3.517042035770265862e-01,5.930465441911171309e-01,2.715149972161857495e+00,2.999999819999993544e+00,-6.000000215185725982e-08
5.499999999999720668e-01,2.013161077733357285e+00,3.217456868634800959e-01,5.672263100945513781e-01,2.967964132978597291e+00,2.999999819999993544e+00,-6.000000215185725982e-08
5.999999999999665601e-01,1.992827593746206771e+00,2.948772704168406422e-01,5.430260310674255297e-01,3.238396968343733473e+00,2.999999819999993100e+00,-6.000000229988700085e-08
6.499999999999610534e-01,1.962675544804992400e+00,2.709122094689689897e-01,5.204922760896351086e-01,3.524867559211104062e+00,2.999999819999993544e+00,-6.000000215185725982e-08
6.999999999999555467e-01,1.924899282054247651e+00,2.496271464998634226e-01,4.996270073763661168e-01,3.825423925005265513e+00,2.999999819731137940e+00,-6.008962068667263200e-08
7.499999999999500400e-01,1.881867111252164770e+00,2.307781654280545436e-01,4.803937608129965620e-01,4.137868315142113396e+00,2.999999805007541820e+00,-6.499748606003663554e-08
7.999999999999445333e-01,1.836016435116786916e+00,2.141137390573161770e-01,4.627242581249833009e-01,4.459917718291522171e+00,2.999999789831319763e+00,-7.005622674564430919e-08
8.499999999999390266e-01,1.789747092418952024e+00,1.993846440904614992e-01,4.465250766647507197e-01,4.789384172023384068e+00,2.999999774305577738e+00,-7.523147408742640575e-08
8.999999999999335198e-01,1.745317393693908148e+00,1.863511837062566678e-01,4.316841249180431439e-01,5.124355206976400012e+00,2.999999758520438320e+00,-8.049318722669340787e-08
9.499999999999280131e-01,1.704747232401932600e+00,1.747881890629798818e-01,4.180767741252554570e-01,5.463353466104569733e+00,2.999999742545519599e+00,-8.581816013375487273e-08
9.999999999999225064e-01,1.669732345769317394e+00,1.644882986579233042e-01,4.055715703275111217e-01,5.805456475279639150e+00,2.999999726424293023e+00,-9.119190232572312060e-08
1.049999999999917000e+00,1.641573324200613193e+00,1.552639707663412416e-01,3.940354942975838326e-01,6.150362211130476098e+00,2.999999710170992095e+00,-9.660966930150986765e-08
1.099999999999911493e+00,1.621122342038127329e+00,1.469485985790369986e-01,3.833387517314640336e-01,6.498392416024019624e+00,2.999999693770452946e+00,-1.020765156845016008e-07
1.149999999999905986e+00,1.608749831837004374e+00,1.393969943749670815e-01,3.733590689603870638e-01,6.850432197861350048e+00,2.999999677180966717e+00,-1.076063444275613815e-07
1.199999999999900480e+00,1.604332480718917875e+00,1.324854070364200331e-01,3.639854489350090039e-01,7.207810127260758648e+00,2.999999660339926599e+00,-1.132200244668979394e-07
1.249999999999894973e+00,1.607263026153725516e+00,1.261111505973742664e-01,3.551213181398354957e-01,7.572127080182665892e+00,2.999999643171892494e+00,-1.189427025020487886e-07
1.299999999999889466e+00,1.616481407497289080e+00,1.201918600426302719e-01,3.466869770306209020e-01,7.945044350030631364e+00,2.999999625598577691e+00,-1.248004741031631119e-07
1.349999999999883959e+00,1.630525927414091525e+00,1.146643594438046254e-01,3.386212625394404152e-01,8.328042498849605124e+00,2.999999607550212222e+00,-1.308165959261013149e-07
1.399999999999878453e+00,1.647602231774413450e+00,1.094831270095598802e-01,3.308823461739230920e-01,8.722162808411464852e+00,2.999999588977726894e+00,-1.370074243685811262e-07
1.449999999999872946e+00,1.665667163201794754e+00,1.046183669445736597e-01,3.234476262775376476e-01,9.127743879402069993e+00,2.999999569865166027e+00,-1.433782779910094114e-07
1.499999999999867439e+00,1.682523913760846535e+00,1.000537398702922992e-01,3.163127247998289149e-01,9.544167562245290171e+00,2.999999550241659207e+00,-1.499194469308425533e-07
1.549999999999861933e+00,1.695924422737367765e+00,9.578384981860685321e-02,3.094896602773780092e-01,9.969631209852130027e+00,2.999999530192153596e+00,-1.566026154679415476e-07
1.599999999999856426e+00,1.703674656200106163e+00,9.181162398251933865e-02,3.030043299732189110e-01,1.040096686159464845e+01,2.999999509865936442e+00,-1.633780211858966987e-07
1.649999999999850919e+00,1.703738279039989090e+00,8.814574146723305748e-02,2.968934850535340786e-01,1.083353140669142434e+01,2.999999489481807391e+00,-1.701727308696850678e-07
1.699999999999845413e+00,1.694334292772894379e+00,8.479826391138003960e-02,2.912014146795651182e-01,1.126119350213748049e+01,2.999999469328701984e+00,-1.768904326719204227e-07
1.749999999999839906e+00,1.674024460979095741e+00,8.178259441786069062e-02,2.859765627072622385e-01,1.167644124460329813e+01,2.999999449760609060e+00,-1.834131303131888153e-07
1.799999999999834399e+00,1.641786768455673284e+00,7.911184724855975514e-02,2.812682834031589585e-01,1.207062774746113298e+01,2.999999431185003562e+00,-1.896049988125980690e-07
1.849999999999828892e+00,1.597071742237835101e+00,7.679765795079450397e-02,2.771239036077445816e-01,1.243435912021185352e+01,2.999999414044562052e+00,-1.953184793161237003e-07
1.899999999999823386e+00,1.539839178244974072e+00,7.484941151410044735e-02,2.735862049045975630e-01,1.275801157596914948e+01,2.999999398792796423e+00,-2.004024011921975153e-07
1.949999999999817879e+00,1.470573636474835411e+00,7.327382280276414916e-02,2.706913792546119524e-01,1.303234391252954616e+01,2.999999385865185886e+00,-2.047116047047362890e-07
1.999999999999812372e+00,1.390277956109364332e+00,7.207477390413585816e-02,2.684674540873359661e-01,1.324915232923922481e+01,2.999999375648327860e+00,-2.081172240468257832e-07
2.049999999999807088e+00,1.300444962407511840e+00,7.125329887797170192e-02,2.669331355938631134e-01,1.340190101495206854e+01,2.999999368450213755e+00,-2.105165954150815259e-07
2.099999999999801581e+00,1.203008451294101944e+00,7.080760664187181475e-02,2.660969872844707873e-01,1.348625809909352213e+01,2.999999364474978059e+00,-2.118416739804729332e-07
2.149999999999796074e+00,1.100275406826406677e+00,7.073304471045087360e-02,2.659568474592276521e-01,1.350047438874464767e+01,2.999999363805051722e+00,-2.120649827593486798e-07
2.199999999999790568e+00,9.948421948174304141e-01,7.102192712716155765e-02,2.664993942341362110e-01,1.344556107076077467e+01,2.999999366392781308e+00,-2.112024062306261385e-07
2.249999999999785061e+00,8.894981497973580842e-01,7.166317658740611884e-02,2.676997881721353001e-01,1.332524881012863993e+01,2.999999372062363889e+00,-2.093125453702290024e-07
2.299999999999779554e+00,7.871205039599393771e-01,7.264176176990481959e-02,2.695213567973878122e-01,1.314573924536884597e+01,2.999999380521555903e+00,-2.064928146990515352e-07
2.349999999999774047e+00,6.905649734865344502e-01,7.393794541016431021e-02,2.719153276484507220e-01,1.291528528760141903e+01,2.999999391381444447e+00,-2.028728518510547474e-07
2.399999999999768541e+00,6.025565042785148151e-01,7.552639607952957301e-02,2.748206616678039449e-01,1.264365451180574773e+01,2.999999404181747042e+00,-1.986060843191713439e-07
2.449999999999763034e+00,5.255846778081081361e-01,7.737525583511793703e-02,2.781640807780866864e-01,1.234153797935441155e+01,2.999999418418656472e+00,-1.938604478427900239e-07
2.499999999999757527e+00,4.618080885353103016e-01,7.944529429111760188e-02,2.818604163253818906e-01,1.201996502212136875e+01,2.999999433572428487e+00,-1.888091905044575469e-07
2.549999999999752021e+00,4.129716350174572059e-01,8.168931251143404793e-02,2.858134225529550543e-01,1.168977469871240160e+01,2.999999449132285001e+00,-1.836225716663383019e-07
2.599999999999746514e+00,3.803401328788328373e-01,8.405198043981033929e-02,2.899171958332418808e-01,1.136117975513019296e+01,2.999999464616959877e+00,-1.784610133744498335e-07
2.649999999999741007e+00,3.646509815219790007e-01,8.647029079262850970e-02,2.940583118917547423e-01,1.104344220191726933e+01,2.999999479589992024e+00,-1.734700026586229733e-07
2.699999999999735500e+00,3.660878261194375205e-01,8.887478204319035346e-02,2.981187381618108923e-01,1.074466385849819794e+01,2.999999493669592621e+00,-1.687768024597839094e-07
2.749999999999729994e+00,3.842762850676881281e-01,9.119161781186325977e-02,3.019794989926687934e-01,1.047168239214134999e+01,2.999999506533544302e+00,-1.644888185658999191e-07
2.799999999999724487e+00,4.183018971478115744e-01,9.334551015820694020e-02,3.055249746881700257e-01,1.023005452466761867e+01,2.999999517919991643e+00,-1.606933361190480418e-07
2.849999999999718980e+00,4.667495204189423541e-01,9.526334906150721316e-02,3.086476130824717945e-01,1.002410337195700940e+01,2.999999527625212714e+00,-1.574582624286335886e-07
2.899999999999713474e+00,5.277625249316321154e-01,9.687826822320290410e-02,3.112527401055337206e-01,9.857005869998209491e+00,2.999999535499497938e+00,-1.548335006873458042e-07
2.949999999999707967e+00,5.991193008969454281e-01,9.813376385340705221e-02,3.132630904741365296e-01,9.730898123686085199e+00,2.999999541442186946e+00,-1.528526043514943922e-07
2.999999999999702460e+00,6.783238872811238052e-01,9.898741580500614035e-02,3.146226562169452956e-01,9.646980384178064583e+00,2.999999545396717870e+00,-1.515344273765132648e-07
3.049999999999696954e+00,7.627069428664066120e-01,9.941376119161574043e-02,3.152994785780904863e-01,9.605608389675412084e+00,2.999999547346327677e+00,-1.508845574408705097e-07
3.099999999999691447e+00,8.495328569772978566e-01,9.940594840127561782e-02,3.152870888591469134e-01,9.606363340517336979e+00,2.999999547310751247e+00,-1.508964162511006180e-07
3.149999999999685940e+00,9.361085480499214961e-01,9.897594563368428133e-02,3.146044272315383084e-01,9.648098358015413822e+00,2.999999545344035123e+00,-1.515519882921978478e-07
3.199999999999680433e+00,1.019889435390264998e+00,9.815326716123069783e-02,3.132942182058754410e-01,9.728964569083212055e+00,2.999999541533304281e+00,-1.528222319061948446e-07
3.249999999999674927e+00,1.098578195399539270e+00,9.698237574450670195e-02,3.114199347256156325e-01,9.846424685110493513e+00,2.999999535998124855e+00,-1.546672917148347033e-07
3.299999999999669420e+00,1.170212222913391553e+00,9.551908285193121129e-02,3.090616165943794735e-01,9.997265782290384095e+00,2.999999528889904177e+00,-1.570366986077450229e-07
3.349999999999663913e+00,1.233236198098461411e+00,9.382637003184209068e-02,3.063109042000334847e-01,1.017762552497016770e+01,2.999999520390650432e+00,-1.598697831894924093e-07
3.399999999999658407e+00,1.286556789432906633e+00,9.197008128572191354e-02,3.032656942117289978e-01,1.038304680393516399e+01,2.999999510710398720e+00,-1.630965337599358527e-07
3.449999999999652900e+00,1.329577277234593291e+00,9.001489175558680111e-02,3.000248185660426281e-01,1.060857420285798547e+01,2.999999500082668469e+00,-1.666391105104025883e-07
3.499999999999647393e+00,1.362210728376216373e+00,8.802086119098323502e-02,2.966830989304635735e-01,1.084890156299895381e+01,2.999999488757505883e+00,-1.704141647055716084e-07
