R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
0.000000000000000000e+00,9.094568176679733718e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000083e-03,9.094360303211401764e-01,4.571376196318907841e-05,2.285662041413406842e-02,-7.836555570560250507e-06
8.000000000000000167e-03,9.093736711314004406e-01,1.828487787041278671e-04,4.571010631351021120e-02,-3.134407290069271524e-05
1.200000000000000025e-02,9.092697486503831250e-01,4.113862442098190010e-04,6.855732389979554697e-02,-7.051610458264685082e-05
1.600000000000000033e-02,9.091242771286311974e-01,7.312948199011024778e-04,9.139514080727804968e-02,-1.253419073928384710e-04
2.000000000000000042e-02,9.089372765123446829e-01,1.142530641794804258e-03,1.142204268186038651e-01,-1.958064459747494823e-04
2.400000000000000050e-02,9.087087724388231980e-01,1.645037330527535915e-03,1.370300545798275038e-01,-2.818903979927880042e-04
2.800000000000000058e-02,9.084387962306073039e-01,2.238746004237937050e-03,1.598209003145457385e-01,-3.835701607549098333e-04
3.200000000000000067e-02,9.081273848883232302e-01,2.923575294303246575e-03,1.825898445368874801e-01,-5.008178593011770614e-04
3.600000000000000422e-02,9.077745810822308581e-01,3.699431363925155623e-03,2.053337727631311949e-01,-6.336013559548050404e-04
4.000000000000000083e-02,9.073804331424798475e-01,4.566207929559012307e-03,2.280495762217231437e-01,-7.818842613316221921e-04
4.400000000000000439e-02,9.069449950480744649e-01,5.523786285179526842e-03,2.507341525614694699e-01,-9.456259468032563072e-04
4.800000000000000100e-02,9.064683264145539932e-01,6.572035329375201969e-03,2.733844065576765403e-01,-1.124781558408726422e-03
5.200000000000000455e-02,9.059504924803890580e-01,7.710811595262868218e-03,2.959972508160143567e-01,-1.319302032208521502e-03
5.600000000000000117e-02,9.053915640921006425e-01,8.939959283212712757e-03,3.185696064738785527e-01,-1.529134111074617304e-03
6.000000000000000472e-02,9.047916176881062311e-01,1.025931029637342645e-02,3.410984038990295675e-01,-1.754220362909294758e-03
6.400000000000000133e-02,9.041507352812969689e-01,1.166868427898604121e-02,3.635805833852841507e-01,-1.994499200284987218e-03
6.800000000000000488e-02,9.034690044403529408e-01,1.316788865747431196e-02,3.860130958450420091e-01,-2.249904901496816486e-03
7.200000000000000844e-02,9.027465182698013457e-01,1.475671868429847926e-02,4.083929034984248307e-01,-2.520367633018850799e-03
7.599999999999999811e-02,9.019833753888254479e-01,1.643495748455845937e-02,4.307169805588121347e-01,-2.805813473354547716e-03
8.000000000000000167e-02,9.011796799088280796e-01,1.820237610533165240e-02,4.529823139145561228e-01,-3.106164438271242015e-03
8.400000000000000522e-02,9.003355414097611309e-01,2.005873356772949409e-02,4.751859038066607033e-01,-3.421338507407957127e-03
8.800000000000000877e-02,8.994510749152244689e-01,2.200377692165643786e-02,4.973247645022116914e-01,-3.751249652245254671e-03
9.199999999999999845e-02,8.985264008663447211e-01,2.403724130325370426e-02,5.193959249633463005e-01,-4.095807865425244408e-03
9.600000000000000200e-02,8.975616450944418068e-01,2.615884999500969407e-02,5.413964295115522019e-01,-4.454919191409343997e-03
