Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.931471805599452862e-01
1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.386294361119890572e+00
1.122018454301963342e+00,1.000000000000000000e+00,8.912509381337455627e-01,8.912509381337455627e-01,8.912509381337455627e-01,1.122018454301963342e+00,1.258925411794167060e+00,2.302585092994044458e-01
1.122018454301963342e+00,2.000000000000000000e+00,8.912509381337455627e-01,8.912509381337455627e-01,8.912509381337455627e-01,2.244036908603926683e+00,2.517850823588334119e+00,9.234056898593497875e-01
1.122018454301963342e+00,4.000000000000000000e+00,8.912509381337455627e-01,8.912509381337455627e-01,8.912509381337455627e-01,4.488073817207853367e+00,5.035701647176668239e+00,1.616552870419295074e+00
1.258925411794167282e+00,1.000000000000000000e+00,7.943282347242814900e-01,7.943282347242814900e-01,7.943282347242814900e-01,1.258925411794167282e+00,1.584893192461113598e+00,4.605170185988092246e-01
1.258925411794167282e+00,2.000000000000000000e+00,7.943282347242814900e-01,7.943282347242814900e-01,7.943282347242814900e-01,2.517850823588334563e+00,3.169786384922227196e+00,1.153664199158754622e+00
1.258925411794167282e+00,4.000000000000000000e+00,7.943282347242814900e-01,7.943282347242814900e-01,7.943282347242814900e-01,5.035701647176669127e+00,6.339572769844454392e+00,1.846811379718699797e+00
1.412537544622754382e+00,1.000000000000000000e+00,7.079457843841379105e-01,7.079457843841379105e-01,7.079457843841379105e-01,1.412537544622754382e+00,1.995262314968879735e+00,6.907755278982137259e-01
1.412537544622754382e+00,2.000000000000000000e+00,7.079457843841379105e-01,7.079457843841379105e-01,7.079457843841379105e-01,2.825075089245508764e+00,3.990524629937759471e+00,1.383922708458159123e+00
1.412537544622754382e+00,4.000000000000000000e+00,7.079457843841379105e-01,7.079457843841379105e-01,7.079457843841379105e-01,5.650150178491017527e+00,7.981049259875518942e+00,2.077069889018104298e+00
1.584893192461113598e+00,1.000000000000000000e+00,6.309573444801932496e-01,6.309573444801932496e-01,6.309573444801932496e-01,1.584893192461113598e+00,2.511886431509580131e+00,9.210340371976182272e-01
1.584893192461113598e+00,2.000000000000000000e+00,6.309573444801932496e-01,6.309573444801932496e-01,6.309573444801932496e-01,3.169786384922227196e+00,5.023772863019160262e+00,1.614181217757563624e+00
1.584893192461113598e+00,4.000000000000000000e+00,6.309573444801932496e-01,6.309573444801932496e-01,6.309573444801932496e-01,6.339572769844454392e+00,1.004754572603832052e+01,2.307328398317508800e+00
1.778279410038922759e+00,1.000000000000000000e+00,5.623413251903490728e-01,5.623413251903490728e-01,5.623413251903490728e-01,1.778279410038922759e+00,3.162277660168379079e+00,1.151292546497022729e+00
1.778279410038922759e+00,2.000000000000000000e+00,5.623413251903490728e-01,5.623413251903490728e-01,5.623413251903490728e-01,3.556558820077845517e+00,6.324555320336758157e+00,1.844439727056968126e+00
1.778279410038922759e+00,4.000000000000000000e+00,5.623413251903490728e-01,5.623413251903490728e-01,5.623413251903490728e-01,7.113117640155691035e+00,1.264911064067351631e+01,2.537586907616913301e+00
1.995262314968879735e+00,1.000000000000000000e+00,5.011872336272722439e-01,5.011872336272722439e-01,5.011872336272722439e-01,1.995262314968879735e+00,3.981071705534973137e+00,1.381551055796427674e+00
1.995262314968879735e+00,2.000000000000000000e+00,5.011872336272722439e-01,5.011872336272722439e-01,5.011872336272722439e-01,3.990524629937759471e+00,7.962143411069946275e+00,2.074698236356372849e+00
1.995262314968879735e+00,4.000000000000000000e+00,5.011872336272722439e-01,5.011872336272722439e-01,5.011872336272722439e-01,7.981049259875518942e+00,1.592428682213989255e+01,2.767845416916318246e+00
2.238721138568339875e+00,1.000000000000000000e+00,4.466835921509630936e-01,4.466835921509630936e-01,4.466835921509630936e-01,2.238721138568339875e+00,5.011872336272723771e+00,1.611809565095832175e+00
2.238721138568339875e+00,2.000000000000000000e+00,4.466835921509630936e-01,4.466835921509630936e-01,4.466835921509630936e-01,4.477442277136679749e+00,1.002374467254544754e+01,2.304956745655777350e+00
2.238721138568339875e+00,4.000000000000000000e+00,4.466835921509630936e-01,4.466835921509630936e-01,4.466835921509630936e-01,8.954884554273359498e+00,2.004748934509089509e+01,2.998103926215722748e+00
2.511886431509580131e+00,1.000000000000000000e+00,3.981071705534972582e-01,3.981071705534972582e-01,3.981071705534972582e-01,2.511886431509580131e+00,6.309573444801932496e+00,1.842068074395236454e+00
2.511886431509580131e+00,2.000000000000000000e+00,3.981071705534972582e-01,3.981071705534972582e-01,3.981071705534972582e-01,5.023772863019160262e+00,1.261914688960386499e+01,2.535215254955181852e+00
2.511886431509580131e+00,4.000000000000000000e+00,3.981071705534972582e-01,3.981071705534972582e-01,3.981071705534972582e-01,1.004754572603832052e+01,2.523829377920772998e+01,3.228362435515127249e+00
2.818382931264453717e+00,1.000000000000000000e+00,3.548133892335754713e-01,3.548133892335754713e-01,3.548133892335754713e-01,2.818382931264453717e+00,7.943282347242814012e+00,2.072326583694640956e+00
2.818382931264453717e+00,2.000000000000000000e+00,3.548133892335754713e-01,3.548133892335754713e-01,3.548133892335754713e-01,5.636765862528907434e+00,1.588656469448562802e+01,2.765473764254586353e+00
2.818382931264453717e+00,4.000000000000000000e+00,3.548133892335754713e-01,3.548133892335754713e-01,3.548133892335754713e-01,1.127353172505781487e+01,3.177312938897125605e+01,3.458620944814531750e+00
3.162277660168379523e+00,1.000000000000000000e+00,3.162277660168379412e-01,3.162277660168379412e-01,3.162277660168379412e-01,3.162277660168379523e+00,1.000000000000000000e+01,2.302585092994045901e+00
