m,n,Gamma_lineage,cumulative_net_recruited_Gamma,min_comparable_base_donor_count
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,1.500000000000000000e+01,1.600000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+00,3.200000000000000000e+01,3.100000000000000000e+01,3.200000000000000000e+01
2.000000000000000000e+00,6.000000000000000000e+00,6.400000000000000000e+01,6.300000000000000000e+01,6.400000000000000000e+01
2.000000000000000000e+00,7.000000000000000000e+00,1.280000000000000000e+02,1.270000000000000000e+02,1.280000000000000000e+02
2.000000000000000000e+00,8.000000000000000000e+00,2.560000000000000000e+02,2.550000000000000000e+02,2.560000000000000000e+02
2.000000000000000000e+00,9.000000000000000000e+00,5.120000000000000000e+02,5.110000000000000000e+02,5.120000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+01,1.024000000000000000e+03,1.023000000000000000e+03,1.024000000000000000e+03
2.000000000000000000e+00,1.100000000000000000e+01,2.048000000000000000e+03,2.047000000000000000e+03,2.048000000000000000e+03
2.000000000000000000e+00,1.200000000000000000e+01,4.096000000000000000e+03,4.095000000000000000e+03,4.096000000000000000e+03
2.000000000000000000e+00,1.300000000000000000e+01,8.192000000000000000e+03,8.191000000000000000e+03,8.192000000000000000e+03
2.000000000000000000e+00,1.400000000000000000e+01,1.638400000000000000e+04,1.638300000000000000e+04,1.638400000000000000e+04
2.000000000000000000e+00,1.500000000000000000e+01,3.276800000000000000e+04,3.276700000000000000e+04,3.276800000000000000e+04
2.000000000000000000e+00,1.600000000000000000e+01,6.553600000000000000e+04,6.553500000000000000e+04,6.553600000000000000e+04
2.000000000000000000e+00,1.700000000000000000e+01,1.310720000000000000e+05,1.310710000000000000e+05,1.310720000000000000e+05
2.000000000000000000e+00,1.800000000000000000e+01,2.621440000000000000e+05,2.621430000000000000e+05,2.621440000000000000e+05
3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.700000000000000000e+01,2.600000000000000000e+01,2.700000000000000000e+01
3.000000000000000000e+00,4.000000000000000000e+00,8.100000000000000000e+01,8.000000000000000000e+01,8.100000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+00,2.430000000000000000e+02,2.420000000000000000e+02,2.430000000000000000e+02
3.000000000000000000e+00,6.000000000000000000e+00,7.290000000000000000e+02,7.280000000000000000e+02,7.290000000000000000e+02
3.000000000000000000e+00,7.000000000000000000e+00,2.187000000000000000e+03,2.186000000000000000e+03,2.187000000000000000e+03
3.000000000000000000e+00,8.000000000000000000e+00,6.561000000000000000e+03,6.560000000000000000e+03,6.561000000000000000e+03
3.000000000000000000e+00,9.000000000000000000e+00,1.968300000000000000e+04,1.968200000000000000e+04,1.968300000000000000e+04
3.000000000000000000e+00,1.000000000000000000e+01,5.904900000000000000e+04,5.904800000000000000e+04,5.904900000000000000e+04
3.000000000000000000e+00,1.100000000000000000e+01,1.771470000000000000e+05,1.771460000000000000e+05,1.771470000000000000e+05
3.000000000000000000e+00,1.200000000000000000e+01,5.314410000000000000e+05,5.314400000000000000e+05,5.314410000000000000e+05
3.000000000000000000e+00,1.300000000000000000e+01,1.594323000000000000e+06,1.594322000000000000e+06,1.594323000000000000e+06
3.000000000000000000e+00,1.400000000000000000e+01,4.782969000000000000e+06,4.782968000000000000e+06,4.782969000000000000e+06
3.000000000000000000e+00,1.500000000000000000e+01,1.434890700000000000e+07,1.434890600000000000e+07,1.434890700000000000e+07
3.000000000000000000e+00,1.600000000000000000e+01,4.304672100000000000e+07,4.304672000000000000e+07,4.304672100000000000e+07
3.000000000000000000e+00,1.700000000000000000e+01,1.291401630000000000e+08,1.291401620000000000e+08,1.291401630000000000e+08
3.000000000000000000e+00,1.800000000000000000e+01,3.874204890000000000e+08,3.874204880000000000e+08,3.874204890000000000e+08
4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000000e+01,1.500000000000000000e+01,1.600000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+00,6.400000000000000000e+01,6.300000000000000000e+01,6.400000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+00,2.560000000000000000e+02,2.550000000000000000e+02,2.560000000000000000e+02
4.000000000000000000e+00,5.000000000000000000e+00,1.024000000000000000e+03,1.023000000000000000e+03,1.024000000000000000e+03
4.000000000000000000e+00,6.000000000000000000e+00,4.096000000000000000e+03,4.095000000000000000e+03,4.096000000000000000e+03
4.000000000000000000e+00,7.000000000000000000e+00,1.638400000000000000e+04,1.638300000000000000e+04,1.638400000000000000e+04
4.000000000000000000e+00,8.000000000000000000e+00,6.553600000000000000e+04,6.553500000000000000e+04,6.553600000000000000e+04
4.000000000000000000e+00,9.000000000000000000e+00,2.621440000000000000e+05,2.621430000000000000e+05,2.621440000000000000e+05
4.000000000000000000e+00,1.000000000000000000e+01,1.048576000000000000e+06,1.048575000000000000e+06,1.048576000000000000e+06
4.000000000000000000e+00,1.100000000000000000e+01,4.194304000000000000e+06,4.194303000000000000e+06,4.194304000000000000e+06
4.000000000000000000e+00,1.200000000000000000e+01,1.677721600000000000e+07,1.677721500000000000e+07,1.677721600000000000e+07
4.000000000000000000e+00,1.300000000000000000e+01,6.710886400000000000e+07,6.710886300000000000e+07,6.710886400000000000e+07
4.000000000000000000e+00,1.400000000000000000e+01,2.684354560000000000e+08,2.684354550000000000e+08,2.684354560000000000e+08
4.000000000000000000e+00,1.500000000000000000e+01,1.073741824000000000e+09,1.073741823000000000e+09,1.073741824000000000e+09
4.000000000000000000e+00,1.600000000000000000e+01,4.294967296000000000e+09,4.294967295000000000e+09,4.294967296000000000e+09
4.000000000000000000e+00,1.700000000000000000e+01,1.717986918400000000e+10,1.717986918300000000e+10,1.717986918400000000e+10
4.000000000000000000e+00,1.800000000000000000e+01,6.871947673600000000e+10,6.871947673500000000e+10,6.871947673600000000e+10
