Re_parent,tau_parent,h_over_delta,jump_over_parent_omega,Re_layer,Re_layer_over_sqrtRe,recovered_DeltaGamma_over_Gamma
1.000000000000000000e+01,1.000000000000000056e-01,3.162277660168379412e-01,5.604991216397928078e+00,5.604991216397928078e+00,1.772453850905515660e+00,9.999999999999997780e-01
1.258925411794167459e+01,7.943282347242813790e-02,2.818382931264453717e-01,6.288903580998884912e+00,6.288903580998885801e+00,1.772453850905515882e+00,9.999999999999998890e-01
1.584893192461113287e+01,6.309573444801933051e-02,2.511886431509580131e-01,7.056265875206451987e+00,7.056265875206451987e+00,1.772453850905516104e+00,1.000000000000000000e+00
1.995262314968879735e+01,5.011872336272722717e-02,2.238721138568339486e-01,7.917260530442836064e+00,7.917260530442835176e+00,1.772453850905516104e+00,1.000000000000000222e+00
2.511886431509579509e+01,3.981071705534973415e-02,1.995262314968879735e-01,8.883312422673411035e+00,8.883312422673409259e+00,1.772453850905515660e+00,9.999999999999998890e-01
3.162277660168379256e+01,3.162277660168379134e-02,1.778279410038922648e-01,9.967240473569454196e+00,9.967240473569450643e+00,1.772453850905515438e+00,1.000000000000000222e+00
3.981071705534973404e+01,2.511886431509579437e-02,1.584893192461113154e-01,1.118342774981036847e+01,1.118342774981036669e+01,1.772453850905515660e+00,1.000000000000000000e+00
5.011872336272724482e+01,1.995262314968878833e-02,1.412537544622753938e-01,1.254801231763991609e+01,1.254801231763991254e+01,1.772453850905515438e+00,1.000000000000000000e+00
6.309573444801932851e+01,1.584893192461113431e-02,1.258925411794167282e-01,1.407910138520033350e+01,1.407910138520033527e+01,1.772453850905516326e+00,9.999999999999998890e-01
7.943282347242814012e+01,1.258925411794167316e-02,1.122018454301963453e-01,1.579701157418310942e+01,1.579701157418310942e+01,1.772453850905516104e+00,9.999999999999997780e-01
1.000000000000000000e+02,1.000000000000000021e-02,1.000000000000000056e-01,1.772453850905515793e+01,1.772453850905516148e+01,1.772453850905516104e+00,9.999999999999998890e-01
1.258925411794167530e+02,7.943282347242813790e-03,8.912509381337455072e-02,1.988725930114569707e+01,1.988725930114570062e+01,1.772453850905515882e+00,9.999999999999997780e-01
1.584893192461114211e+02,6.309573444801929408e-03,7.943282347242812402e-02,2.231387194137384711e+01,2.231387194137384355e+01,1.772453850905515882e+00,1.000000000000000000e+00
1.995262314968878741e+02,5.011872336272724625e-03,7.079457843841380216e-02,2.503657610515222487e+01,2.503657610515222132e+01,1.772453850905515660e+00,1.000000000000000000e+00
2.511886431509582280e+02,3.981071705534969078e-03,6.309573444801930275e-02,2.809150042251638268e+01,2.809150042251638979e+01,1.772453850905516104e+00,9.999999999999997780e-01
3.162277660168379043e+02,3.162277660168379828e-03,5.623413251903491145e-02,3.151918188309477387e+01,3.151918188309477742e+01,1.772453850905515882e+00,1.000000000000000000e+00
3.981071705534973262e+02,2.511886431509579437e-03,5.011872336272722023e-02,3.536510373733245416e+01,3.536510373733245416e+01,1.772453850905515882e+00,1.000000000000000000e+00
5.011872336272724624e+02,1.995262314968878920e-03,4.466835921509630658e-02,3.968029903159035143e+01,3.968029903159035143e+01,1.772453850905515882e+00,9.999999999999998890e-01
6.309573444801930009e+02,1.584893192461114082e-03,3.981071705534973415e-02,4.452202778566468311e+01,4.452202778566469021e+01,1.772453850905516104e+00,1.000000000000000000e+00
7.943282347242821970e+02,1.258925411794166189e-03,3.548133892335753048e-02,4.995453679846058748e+01,4.995453679846059458e+01,1.772453850905515882e+00,9.999999999999998890e-01
1.000000000000000000e+03,1.000000000000000021e-03,3.162277660168379134e-02,5.604991216397928611e+01,5.604991216397927900e+01,1.772453850905515882e+00,1.000000000000000000e+00
1.258925411794167530e+03,7.943282347242813140e-04,2.818382931264453578e-02,6.288903580998886156e+01,6.288903580998886156e+01,1.772453850905516104e+00,1.000000000000000000e+00
1.584893192461114040e+03,6.309573444801929842e-04,2.511886431509579437e-02,7.056265875206453586e+01,7.056265875206450744e+01,1.772453850905515216e+00,9.999999999999998890e-01
1.995262314968880901e+03,5.011872336272719854e-04,2.238721138568338861e-02,7.917260530442837307e+01,7.917260530442837307e+01,1.772453850905516104e+00,1.000000000000000000e+00
2.511886431509582053e+03,3.981071705534969187e-04,1.995262314968878833e-02,8.883312422673415654e+01,8.883312422673415654e+01,1.772453850905515882e+00,9.999999999999997780e-01
3.162277660168379498e+03,3.162277660168379394e-04,1.778279410038922925e-02,9.967240473569452774e+01,9.967240473569455617e+01,1.772453850905516548e+00,1.000000000000000000e+00
3.981071705534973262e+03,2.511886431509579545e-04,1.584893192461113431e-02,1.118342774981036740e+02,1.118342774981037024e+02,1.772453850905516326e+00,9.999999999999998890e-01
5.011872336272725079e+03,1.995262314968878758e-04,1.412537544622754007e-02,1.254801231763991467e+02,1.254801231763991467e+02,1.772453850905515660e+00,9.999999999999997780e-01
6.309573444801936603e+03,1.584893192461112564e-04,1.258925411794166796e-02,1.407910138520033740e+02,1.407910138520034025e+02,1.772453850905516104e+00,1.000000000000000222e+00
7.943282347242821743e+03,1.258925411794166080e-04,1.122018454301962863e-02,1.579701157418311652e+02,1.579701157418311368e+02,1.772453850905515660e+00,1.000000000000000000e+00
1.000000000000000000e+04,1.000000000000000048e-04,1.000000000000000021e-02,1.772453850905515651e+02,1.772453850905515935e+02,1.772453850905515882e+00,9.999999999999997780e-01
1.258925411794166212e+04,7.943282347242820729e-05,8.912509381337458889e-03,1.988725930114568712e+02,1.988725930114568996e+02,1.772453850905515882e+00,9.999999999999998890e-01
1.584893192461114086e+04,6.309573444801930655e-05,7.943282347242813790e-03,2.231387194137384427e+02,2.231387194137384711e+02,1.772453850905516104e+00,9.999999999999998890e-01
1.995262314968882856e+04,5.011872336272714975e-05,7.079457843841373450e-03,2.503657610515225258e+02,2.503657610515225258e+02,1.772453850905516326e+00,1.000000000000000000e+00
2.511886431509581962e+04,3.981071705534969458e-05,6.309573444801930275e-03,2.809150042251638979e+02,2.809150042251638411e+02,1.772453850905515660e+00,1.000000000000000000e+00
3.162277660168379225e+04,3.162277660168379530e-05,5.623413251903490971e-03,3.151918188309477387e+02,3.151918188309477387e+02,1.772453850905515882e+00,9.999999999999998890e-01
3.981071705534969078e+04,2.511886431509582188e-05,5.011872336272724625e-03,3.536510373733243568e+02,3.536510373733243000e+02,1.772453850905515660e+00,1.000000000000000000e+00
5.011872336272725079e+04,1.995262314968878622e-05,4.466835921509630485e-03,3.968029903159034575e+02,3.968029903159035143e+02,1.772453850905515882e+00,9.999999999999998890e-01
6.309573444801942969e+04,1.584893192461110734e-05,3.981071705534969078e-03,4.452202778566473285e+02,4.452202778566473285e+02,1.772453850905515882e+00,9.999999999999998890e-01
7.943282347242820833e+04,1.258925411794166284e-05,3.548133892335753221e-03,4.995453679846059458e+02,4.995453679846059458e+02,1.772453850905516104e+00,1.000000000000000000e+00
1.000000000000000000e+05,1.000000000000000082e-05,3.162277660168379394e-03,5.604991216397928611e+02,5.604991216397928611e+02,1.772453850905515882e+00,1.000000000000000000e+00
1.258925411794168758e+05,7.943282347242804805e-06,2.818382931264452190e-03,6.288903580998888856e+02,6.288903580998889993e+02,1.772453850905516104e+00,9.999999999999998890e-01
1.584893192461114086e+05,6.309573444801930485e-06,2.511886431509579871e-03,7.056265875206452165e+02,7.056265875206453302e+02,1.772453850905515882e+00,9.999999999999997780e-01
1.995262314968878636e+05,5.011872336272724970e-06,2.238721138568339902e-03,7.917260530442833897e+02,7.917260530442831623e+02,1.772453850905515660e+00,1.000000000000000000e+00
2.511886431509582035e+05,3.981071705534969119e-06,1.995262314968878920e-03,8.883312422673416222e+02,8.883312422673417359e+02,1.772453850905516326e+00,1.000000000000000000e+00
3.162277660168379080e+05,3.162277660168379615e-06,1.778279410038922969e-03,9.967240473569451069e+02,9.967240473569452206e+02,1.772453850905516104e+00,1.000000000000000000e+00
