R0,level,Re,delta,Gamma,Omega,tau_nl,Eproxy,Dproxy
1.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000021e-02,1.000000000000000000e+04,1.000000000000000000e+02
1.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,9.999999999999997726e+02,1.000000000000000238e-03,1.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+02,2.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379134e-02,3.162277660168379523e+00,3.162277660168379953e+03,3.162277660168378310e-04,3.162277660168379967e-01,1.000000000000000056e-01
1.000000000000000000e+02,3.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922578e-02,1.778279410038922759e+00,5.623413251903492892e+03,1.778279410038922155e-04,5.623413251903489757e-02,3.162277660168379134e-02
1.000000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000000e+04,1.000000000000000048e-04,1.000000000000000000e+08,1.000000000000000000e+04
1.000000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000021e-02,1.000000000000000000e+02,1.000000000000000000e+06,9.999999999999999547e-07,1.000000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+01,1.000000000000000000e+07,9.999999999999999547e-08,1.000000000000000056e-01,1.000000000000000021e-02
1.000000000000000000e+04,3.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379394e-04,3.162277660168379523e+00,3.162277660168379173e+07,3.162277660168379191e-08,3.162277660168379828e-03,1.000000000000000021e-03
1.000000000000000000e+04,4.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922969e-04,1.778279410038922759e+00,5.623413251903489977e+07,1.778279410038923152e-08,5.623413251903490971e-04,3.162277660168379394e-04
1.000000000000000000e+08,0.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000000e+08,1.000000000000000021e-08,1.000000000000000000e+16,1.000000000000000000e+08
1.000000000000000000e+08,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000048e-04,1.000000000000000000e+04,1.000000000000000000e+12,9.999999999999999799e-13,1.000000000000000000e+04,1.000000000000000000e+00
1.000000000000000000e+08,2.000000000000000000e+00,1.000000000000000000e+02,9.999999999999999547e-07,1.000000000000000000e+02,1.000000000000000000e+14,9.999999999999999988e-15,1.000000000000000021e-02,9.999999999999999124e-05
1.000000000000000000e+08,3.000000000000000000e+00,1.000000000000000000e+01,9.999999999999999547e-08,1.000000000000000000e+01,1.000000000000000125e+15,9.999999999999998805e-16,9.999999999999999124e-06,9.999999999999999547e-07
1.000000000000000000e+08,4.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379191e-08,3.162277660168379523e+00,3.162277660168380000e+15,3.162277660168378820e-16,3.162277660168379721e-07,9.999999999999999547e-08
1.000000000000000000e+08,5.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922821e-08,1.778279410038922759e+00,5.623413251903491000e+15,1.778279410038922825e-16,5.623413251903490494e-08,3.162277660168379191e-08
1.000000000000000000e+16,0.000000000000000000e+00,1.000000000000000000e+16,1.000000000000000000e+00,1.000000000000000000e+16,1.000000000000000000e+16,9.999999999999999791e-17,1.000000000000000054e+32,1.000000000000000000e+16
1.000000000000000000e+16,1.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000021e-08,1.000000000000000000e+08,9.999999999999998490e+23,1.000000000000000107e-24,1.000000000000000000e+08,1.000000000000000000e+00
1.000000000000000000e+16,2.000000000000000000e+00,1.000000000000000000e+04,9.999999999999999799e-13,1.000000000000000000e+04,1.000000000000000178e+28,9.999999999999999712e-29,9.999999999999999124e-05,1.000000000000000021e-08
1.000000000000000000e+16,3.000000000000000000e+00,1.000000000000000000e+02,9.999999999999999988e-15,1.000000000000000000e+02,1.000000000000000020e+30,9.999999999999999082e-31,1.000000000000000036e-10,9.999999999999999799e-13
1.000000000000000000e+16,4.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000078e-15,1.000000000000000000e+01,9.999999999999999636e+30,1.000000000000000083e-31,1.000000000000000030e-13,1.000000000000000157e-14
1.000000000000000000e+16,5.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379313e-16,3.162277660168379523e+00,3.162277660168379320e+31,3.162277660168379472e-32,3.162277660168379806e-15,1.000000000000000078e-15
1.000000000000000000e+16,6.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922825e-16,1.778279410038922759e+00,5.623413251903490002e+31,1.778279410038922970e-32,5.623413251903490212e-16,3.162277660168379313e-16
