R0,level,Re,delta,Eproxy,Dproxy,ImpulseProxy,tau
1.000000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000000e+04,1.000000000000000000e+04,1.000000000000000048e-04
1.000000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000021e-02,1.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000021e-02,9.999999999999999547e-07
1.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000056e-01,1.000000000000000021e-02,1.000000000000000082e-05,9.999999999999999547e-08
1.000000000000000000e+04,3.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379394e-04,3.162277660168379828e-03,1.000000000000000021e-03,3.162277660168379721e-07,3.162277660168379191e-08
1.000000000000000000e+04,4.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922969e-04,5.623413251903490971e-04,3.162277660168379394e-04,5.623413251903491155e-08,1.778279410038923152e-08
1.000000000000000000e+04,5.000000000000000000e+00,1.333521432163323972e+00,1.333521432163324225e-04,2.371373705661655653e-04,1.778279410038922969e-04,2.371373705661655768e-08,1.333521432163324508e-08
1.000000000000000000e+08,0.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000000e+00,1.000000000000000000e+16,1.000000000000000000e+08,1.000000000000000000e+08,1.000000000000000021e-08
1.000000000000000000e+08,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000048e-04,1.000000000000000000e+04,1.000000000000000000e+00,1.000000000000000048e-04,9.999999999999999799e-13
1.000000000000000000e+08,2.000000000000000000e+00,1.000000000000000000e+02,9.999999999999999547e-07,1.000000000000000021e-02,9.999999999999999124e-05,9.999999999999999072e-11,9.999999999999999988e-15
1.000000000000000000e+08,3.000000000000000000e+00,1.000000000000000000e+01,9.999999999999999547e-08,9.999999999999999124e-06,9.999999999999999547e-07,9.999999999999999042e-14,9.999999999999998805e-16
